"","label","replace.by"
"6504","GENETICS AND MOLECULAR RESEARCH","Biology mol. & Genetics"
"6505","Genetics Research","Biology mol. & Genetics"
"6506","Applied Bionics and Biomechanics","Biology mol. & Genetics"
"6507","Genes & Genomics","Biology mol. & Genetics"
"6508","TECHNOLOGY AND HEALTH CARE","Biology mol. & Genetics"
"6509","AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE","Biology mol. & Genetics"
"6510","Acta Crystallographica Section F-Structural Biology Communications","Biology mol. & Genetics"
"6511","MOLECULAR BIOLOGY","Biology mol. & Genetics"
"6512","CELLULAR AND MOLECULAR BIOLOGY","Biology mol. & Genetics"
"6513","IEEE Pulse","Biology mol. & Genetics"
"6514","Bioinspired Biomimetic and Nanobiomaterials","Biology mol. & Genetics"
"6515","CARYOLOGIA","Biology mol. & Genetics"
"6516","Animal Cells and Systems","Biology mol. & Genetics"
"6517","Journal of Medical Devices-Transactions of the ASME","Biology mol. & Genetics"
"6518","RUSSIAN JOURNAL OF GENETICS","Biology mol. & Genetics"
"6519","Journal of Hard Tissue Biology","Biology mol. & Genetics"
"6520","Balkan Journal of Medical Genetics","Biology mol. & Genetics"
"6521","Russian Journal of Developmental Biology","Biology mol. & Genetics"
"6522","INTERNATIONAL JOURNAL OF HUMAN GENETICS","Biology mol. & Genetics"
"6523","Cytology and Genetics","Biology mol. & Genetics"
"6524","CYTOLOGIA","Biology mol. & Genetics"
"6525","Medizinische Genetik","Biology mol. & Genetics"
"6526","BIOLOGICHESKIE MEMBRANY","Biology mol. & Genetics"
"6527","NATURE","Multidisciplinary"
"6528","SCIENCE","Multidisciplinary"
"6529","Nature Communications","Multidisciplinary"
"6530","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","Multidisciplinary"
"6531","National Science Review","Multidisciplinary"
"6532","GigaScience","Multidisciplinary"
"6533","Scientific Reports","Multidisciplinary"
"6534","Annals of the New York Academy of Sciences","Multidisciplinary"
"6535","Journal of the Royal Society Interface","Multidisciplinary"
"6536","PLoS One","Multidisciplinary"
"6537","PeerJ","Multidisciplinary"
"6538","PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES","Multidisciplinary"
"6539","NATURWISSENSCHAFTEN","Multidisciplinary"
"6540","Advances in Natural Sciences-Nanoscience and Nanotechnology","Multidisciplinary"
"6541","JOURNAL OF CULTURAL HERITAGE","Multidisciplinary"
"6542","SCIENTIFIC AMERICAN","Multidisciplinary"
"6543","Jove-Journal of Visualized Experiments","Multidisciplinary"
"6544","SpringerPlus","Multidisciplinary"
"6545","CURRENT SCIENCE","Multidisciplinary"
"6546","JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND","Multidisciplinary"
"6547","Journal of Healthcare Engineering","Multidisciplinary"
"6548","SOUTH AFRICAN JOURNAL OF SCIENCE","Multidisciplinary"
"6549","Frontiers in Life Science","Multidisciplinary"
"6550","JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE","Multidisciplinary"
"6551","Symmetry-Basel","Multidisciplinary"
"6552","European Journal for Philosophy of Science","Multidisciplinary"
"6553","Foundations of Chemistry","Multidisciplinary"
"6554","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","Multidisciplinary"
"6555","DISCRETE DYNAMICS IN NATURE AND SOCIETY","Multidisciplinary"
"6556","Proceedings of the Estonian Academy of Sciences","Multidisciplinary"
"6557","AMERICAN SCIENTIST","Multidisciplinary"
"6558","TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA","Multidisciplinary"
"6559","Chiang Mai Journal of Science","Multidisciplinary"
"6560","SCIENTIST","Multidisciplinary"
"6561","SCIENTIST","Multidisciplinary"
"6562","Sains Malaysiana","Multidisciplinary"
"6563","INTERDISCIPLINARY SCIENCE REVIEWS","Multidisciplinary"
"6564","INTERDISCIPLINARY SCIENCE REVIEWS","Multidisciplinary"
"6565","NATIONAL ACADEMY SCIENCE LETTERS-INDIA","Multidisciplinary"
"6566","Maejo International Journal of Science and Technology","Multidisciplinary"
"6567","ACTA SCIENTIARUM-TECHNOLOGY","Multidisciplinary"
"6568","Kuwait Journal of Science","Multidisciplinary"
"6569","NEW SCIENTIST","Multidisciplinary"
"6570","JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA","Multidisciplinary"
"6571","COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES","Multidisciplinary"
"6572","SCIENCEASIA","Multidisciplinary"
"6573","Iranian Journal of Science and Technology Transaction A-Science","Multidisciplinary"
"6574","Science Bulletin","Multidisciplinary"
"6575","Science of Nature","Multidisciplinary"
"6576","NATURE REVIEWS NEUROSCIENCE","Neuroscience & Behavior"
"6577","LANCET NEUROLOGY","Neuroscience & Behavior"
"6578","BEHAVIORAL AND BRAIN SCIENCES","Neuroscience & Behavior"
"6579","BEHAVIORAL AND BRAIN SCIENCES","Neuroscience & Behavior"
"6580","Nature Reviews Neurology","Neuroscience & Behavior"
"6581","NATURE NEUROSCIENCE","Neuroscience & Behavior"
"6582","Annual Review of Neuroscience","Neuroscience & Behavior"
"6583","NEURON","Neuroscience & Behavior"
"6584","MOLECULAR PSYCHIATRY","Neuroscience & Behavior"
"6585","PROGRESS IN NEUROBIOLOGY","Neuroscience & Behavior"
"6586","TRENDS IN NEUROSCIENCES","Neuroscience & Behavior"
"6587","Alzheimers & Dementia","Neuroscience & Behavior"
"6588","ACTA NEUROPATHOLOGICA","Neuroscience & Behavior"
"6589","BIOLOGICAL PSYCHIATRY","Neuroscience & Behavior"
"6590","BRAIN","Neuroscience & Behavior"
"6591","ANNALS OF NEUROLOGY","Neuroscience & Behavior"
"6592","FRONTIERS IN NEUROENDOCRINOLOGY","Neuroscience & Behavior"
"6593","NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","Neuroscience & Behavior"
"6594","CEREBRAL CORTEX","Neuroscience & Behavior"
"6595","JAMA Neurology","Neuroscience & Behavior"
"6596","NEUROLOGY","Neuroscience & Behavior"
"6597","NEURO-ONCOLOGY","Neuroscience & Behavior"
"6598","SLEEP MEDICINE REVIEWS","Neuroscience & Behavior"
"6599","NEUROSCIENTIST","Neuroscience & Behavior"
"6600","Molecular Neurodegeneration","Neuroscience & Behavior"
"6601","NEUROPSYCHOPHARMACOLOGY","Neuroscience & Behavior"
"6602","CURRENT OPINION IN NEUROBIOLOGY","Neuroscience & Behavior"
"6603","NEUROPSYCHOLOGY REVIEW","Neuroscience & Behavior"
"6604","NEUROPSYCHOLOGY REVIEW","Neuroscience & Behavior"
"6605","CEPHALALGIA","Neuroscience & Behavior"
"6606","MOVEMENT DISORDERS","Neuroscience & Behavior"
"6607","GLIA","Neuroscience & Behavior"
"6608","JOURNAL OF NEUROSCIENCE","Neuroscience & Behavior"
"6609","BRAIN BEHAVIOR AND IMMUNITY","Neuroscience & Behavior"
"6610","Brain Structure & Function","Neuroscience & Behavior"
"6611","STROKE","Neuroscience & Behavior"
"6612","Epilepsy Currents","Neuroscience & Behavior"
"6613","PAIN","Neuroscience & Behavior"
"6614","NEUROIMAGE","Neuroscience & Behavior"
"6615","MOLECULAR NEUROBIOLOGY","Neuroscience & Behavior"
"6616","BRAIN PATHOLOGY","Neuroscience & Behavior"
"6617","Alzheimers Research & Therapy","Neuroscience & Behavior"
"6618","Frontiers in Molecular Neuroscience","Neuroscience & Behavior"
"6619","NEUROBIOLOGY OF AGING","Neuroscience & Behavior"
"6620","Social Cognitive and Affective Neuroscience","Neuroscience & Behavior"
"6621","Social Cognitive and Affective Neuroscience","Neuroscience & Behavior"
"6622","HUMAN BRAIN MAPPING","Neuroscience & Behavior"
"6623","NEUROPHARMACOLOGY","Neuroscience & Behavior"
"6624","JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM","Neuroscience & Behavior"
"6625","CNS DRUGS","Neuroscience & Behavior"
"6626","NEUROBIOLOGY OF DISEASE","Neuroscience & Behavior"
"6627","Brain Stimulation","Neuroscience & Behavior"
"6628","SLEEP","Neuroscience & Behavior"
"6629","EPILEPSIA","Neuroscience & Behavior"
"6630","PSYCHONEUROENDOCRINOLOGY","Neuroscience & Behavior"
"6631","Neurotherapeutics","Neuroscience & Behavior"
"6632","Multiple Sclerosis Journal","Neuroscience & Behavior"
"6633","Journal of Neuroinflammation","Neuroscience & Behavior"
"6634","EXPERIMENTAL NEUROLOGY","Neuroscience & Behavior"
"6635","Frontiers in Cellular Neuroscience","Neuroscience & Behavior"
"6636","ADDICTION BIOLOGY","Neuroscience & Behavior"
"6637","Translational Stroke Research","Neuroscience & Behavior"
"6638","NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY","Neuroscience & Behavior"
"6639","CURRENT OPINION IN NEUROLOGY","Neuroscience & Behavior"
"6640","JOURNAL OF PAIN","Neuroscience & Behavior"
"6641","EUROPEAN NEUROPSYCHOPHARMACOLOGY","Neuroscience & Behavior"
"6642","JOURNAL OF NEUROTRAUMA","Neuroscience & Behavior"
"6643","PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY","Neuroscience & Behavior"
"6644","ACS Chemical Neuroscience","Neuroscience & Behavior"
"6645","Frontiers in Aging Neuroscience","Neuroscience & Behavior"
"6646","CORTEX","Neuroscience & Behavior"
"6647","EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE","Neuroscience & Behavior"
"6648","HIPPOCAMPUS","Neuroscience & Behavior"
"6649","NEUROREHABILITATION AND NEURAL REPAIR","Neuroscience & Behavior"
"6650","Developmental Cognitive Neuroscience","Neuroscience & Behavior"
"6651","EUROPEAN JOURNAL OF NEUROLOGY","Neuroscience & Behavior"
"6652","JOURNAL OF ALZHEIMERS DISEASE","Neuroscience & Behavior"
"6653","Frontiers in Neural Circuits","Neuroscience & Behavior"
"6654","NeuroImage-Clinical","Neuroscience & Behavior"
"6655","JOURNAL OF NEUROCHEMISTRY","Neuroscience & Behavior"
"6656","PARKINSONISM & RELATED DISORDERS","Neuroscience & Behavior"
"6657","Molecular Brain","Neuroscience & Behavior"
"6658","BRAIN TOPOGRAPHY","Neuroscience & Behavior"
"6659","NEUROMOLECULAR MEDICINE","Neuroscience & Behavior"
"6660","Brain Imaging and Behavior","Neuroscience & Behavior"
"6661","JOURNAL OF PSYCHOPHARMACOLOGY","Neuroscience & Behavior"
"6662","Frontiers in Human Neuroscience","Neuroscience & Behavior"
"6663","DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY","Neuroscience & Behavior"
"6664","MOLECULAR AND CELLULAR NEUROSCIENCE","Neuroscience & Behavior"
"6665","CNS SPECTRUMS","Neuroscience & Behavior"
"6666","NEURAL PLASTICITY","Neuroscience & Behavior"
"6667","JOURNAL OF COGNITIVE NEUROSCIENCE","Neuroscience & Behavior"
"6668","JOURNAL OF COGNITIVE NEUROSCIENCE","Neuroscience & Behavior"
"6669","PSYCHOPHARMACOLOGY","Neuroscience & Behavior"
"6670","JOURNAL OF HEADACHE AND PAIN","Neuroscience & Behavior"
"6671","Journal of Neural Engineering","Neuroscience & Behavior"
"6672","NEUROBIOLOGY OF LEARNING AND MEMORY","Neuroscience & Behavior"
"6673","NEUROBIOLOGY OF LEARNING AND MEMORY","Neuroscience & Behavior"
"6674","JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY","Neuroscience & Behavior"
"6675","CLINICAL NEUROPHYSIOLOGY","Neuroscience & Behavior"
"6676","DEMENTIA AND GERIATRIC COGNITIVE DISORDERS","Neuroscience & Behavior"
"6677","JOURNAL OF NEUROLOGY","Neuroscience & Behavior"
"6678","Pain Physician","Neuroscience & Behavior"
"6679","Frontiers in Neuroscience","Neuroscience & Behavior"
"6680","Frontiers in Behavioral Neuroscience","Neuroscience & Behavior"
"6681","NEUROCHEMISTRY INTERNATIONAL","Neuroscience & Behavior"
"6682","CEREBROVASCULAR DISEASES","Neuroscience & Behavior"
"6683","DRUG AND ALCOHOL DEPENDENCE","Neuroscience & Behavior"
"6684","DRUG AND ALCOHOL DEPENDENCE","Neuroscience & Behavior"
"6685","HORMONES AND BEHAVIOR","Neuroscience & Behavior"
"6686","SLEEP MEDICINE","Neuroscience & Behavior"
"6687","JOURNAL OF COMPARATIVE NEUROLOGY","Neuroscience & Behavior"
"6688","JOURNAL OF HEAD TRAUMA REHABILITATION","Neuroscience & Behavior"
"6689","JOURNAL OF HEAD TRAUMA REHABILITATION","Neuroscience & Behavior"
"6690","GENES BRAIN AND BEHAVIOR","Neuroscience & Behavior"
"6691","Frontiers in Neuroanatomy","Neuroscience & Behavior"
"6692","NEUROSCIENCE","Neuroscience & Behavior"
"6693","REVIEWS IN THE NEUROSCIENCES","Neuroscience & Behavior"
"6694","JOURNAL OF NEUROENDOCRINOLOGY","Neuroscience & Behavior"
"6695","Current Alzheimer Research","Neuroscience & Behavior"
"6696","NEUROTOXICITY RESEARCH","Neuroscience & Behavior"
"6697","APPETITE","Neuroscience & Behavior"
"6698","AMERICAN JOURNAL OF NEURORADIOLOGY","Neuroscience & Behavior"
"6699","NEUROMUSCULAR DISORDERS","Neuroscience & Behavior"
"6700","JOURNAL OF SLEEP RESEARCH","Neuroscience & Behavior"
"6701","Molecular Pain","Neuroscience & Behavior"
"6702","Frontiers in Neuroinformatics","Neuroscience & Behavior"
"6703","BRAIN AND LANGUAGE","Neuroscience & Behavior"
"6704","BRAIN AND LANGUAGE","Neuroscience & Behavior"
"6705","Neural Development","Neuroscience & Behavior"
"6706","Journal of Parkinsons Disease","Neuroscience & Behavior"
"6707","BEHAVIOURAL BRAIN RESEARCH","Neuroscience & Behavior"
"6708","JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY","Neuroscience & Behavior"
"6709","EUROPEAN JOURNAL OF NEUROSCIENCE","Neuroscience & Behavior"
"6710","Current Neurology and Neuroscience Reports","Neuroscience & Behavior"
"6711","HEADACHE","Neuroscience & Behavior"
"6712","Neurodegenerative Diseases","Neuroscience & Behavior"
"6713","LEARNING & MEMORY","Neuroscience & Behavior"
"6714","EUROPEAN JOURNAL OF PAIN","Neuroscience & Behavior"
"6715","DEVELOPMENTAL NEUROSCIENCE","Neuroscience & Behavior"
"6716","Clinical Neuroradiology","Neuroscience & Behavior"
"6717","COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE","Neuroscience & Behavior"
"6718","NEUROINFORMATICS","Neuroscience & Behavior"
"6719","ASN Neuro","Neuroscience & Behavior"
"6720","Journal of Neurodevelopmental Disorders","Neuroscience & Behavior"
"6721","NEUROEPIDEMIOLOGY","Neuroscience & Behavior"
"6722","JOURNAL OF NEURORADIOLOGY","Neuroscience & Behavior"
"6723","JOURNAL OF NEURO-ONCOLOGY","Neuroscience & Behavior"
"6724","NEUROTOXICOLOGY","Neuroscience & Behavior"
"6725","NEUROPEPTIDES","Neuroscience & Behavior"
"6726","MUSCLE & NERVE","Neuroscience & Behavior"
"6727","CLINICAL JOURNAL OF PAIN","Neuroscience & Behavior"
"6728","Journal of Clinical Sleep Medicine","Neuroscience & Behavior"
"6729","International Review of Neurobiology","Neuroscience & Behavior"
"6730","BEHAVIORAL NEUROSCIENCE","Neuroscience & Behavior"
"6731","JOURNAL OF NEUROSCIENCE RESEARCH","Neuroscience & Behavior"
"6732","Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration","Neuroscience & Behavior"
"6733","RESTORATIVE NEUROLOGY AND NEUROSCIENCE","Neuroscience & Behavior"
"6734","Spine Journal","Neuroscience & Behavior"
"6735","Frontiers in Computational Neuroscience","Neuroscience & Behavior"
"6736","JOURNAL OF NEUROPHYSIOLOGY","Neuroscience & Behavior"
"6737","JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","Neuroscience & Behavior"
"6738","Therapeutic Advances in Neurological Disorders","Neuroscience & Behavior"
"6739","JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY","Neuroscience & Behavior"
"6740","NUTRITIONAL NEUROSCIENCE","Neuroscience & Behavior"
"6741","METABOLIC BRAIN DISEASE","Neuroscience & Behavior"
"6742","INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY","Neuroscience & Behavior"
"6743","INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY","Neuroscience & Behavior"
"6744","JOURNAL OF NEURAL TRANSMISSION","Neuroscience & Behavior"
"6745","NEUROENDOCRINOLOGY","Neuroscience & Behavior"
"6746","Expert Review of Neurotherapeutics","Neuroscience & Behavior"
"6747","BRAIN RESEARCH BULLETIN","Neuroscience & Behavior"
"6748","JOURNAL OF NEUROVIROLOGY","Neuroscience & Behavior"
"6749","BRAIN RESEARCH","Neuroscience & Behavior"
"6750","ACTA NEUROLOGICA SCANDINAVICA","Neuroscience & Behavior"
"6751","PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR","Neuroscience & Behavior"
"6752","JOURNAL OF NEUROIMMUNOLOGY","Neuroscience & Behavior"
"6753","ALZHEIMER DISEASE & ASSOCIATED DISORDERS","Neuroscience & Behavior"
"6754","Developmental Neurobiology","Neuroscience & Behavior"
"6755","JOURNAL OF PHYSIOLOGY-PARIS","Neuroscience & Behavior"
"6756","CHEMICAL SENSES","Neuroscience & Behavior"
"6757","JOURNAL OF COMPARATIVE PSYCHOLOGY","Neuroscience & Behavior"
"6758","JOURNAL OF COMPARATIVE PSYCHOLOGY","Neuroscience & Behavior"
"6759","NEUROTOXICOLOGY AND TERATOLOGY","Neuroscience & Behavior"
"6760","Neurocritical Care","Neuroscience & Behavior"
"6761","Behavioral Sleep Medicine","Neuroscience & Behavior"
"6762","PSYCHIATRY RESEARCH-NEUROIMAGING","Neuroscience & Behavior"
"6763","NEUROCHEMICAL RESEARCH","Neuroscience & Behavior"
"6764","PHYSIOLOGY & BEHAVIOR","Neuroscience & Behavior"
"6765","PHYSIOLOGY & BEHAVIOR","Neuroscience & Behavior"
"6766","ALCOHOL","Neuroscience & Behavior"
"6767","HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL","Neuroscience & Behavior"
"6768","SPINE","Neuroscience & Behavior"
"6769","JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES","Neuroscience & Behavior"
"6770","CEREBELLUM","Neuroscience & Behavior"
"6771","Journal of NeuroEngineering and Rehabilitation","Neuroscience & Behavior"
"6772","INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY","Neuroscience & Behavior"
"6773","NEUROMODULATION","Neuroscience & Behavior"
"6774","BRAIN AND COGNITION","Neuroscience & Behavior"
"6775","BRAIN AND COGNITION","Neuroscience & Behavior"
"6776","INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE","Neuroscience & Behavior"
"6777","Cognitive Neuroscience","Neuroscience & Behavior"
"6778","Journal of Pain Research","Neuroscience & Behavior"
"6779","NEUROIMMUNOMODULATION","Neuroscience & Behavior"
"6780","JOURNAL OF MOLECULAR NEUROSCIENCE","Neuroscience & Behavior"
"6781","EPILEPSY & BEHAVIOR","Neuroscience & Behavior"
"6782","Sleep and Breathing","Neuroscience & Behavior"
"6783","CELLULAR AND MOLECULAR NEUROBIOLOGY","Neuroscience & Behavior"
"6784","Neuroscience Bulletin","Neuroscience & Behavior"
"6785","Pain Practice","Neuroscience & Behavior"
"6786","BMC NEUROSCIENCE","Neuroscience & Behavior"
"6787","JOURNAL OF SPINAL DISORDERS & TECHNIQUES","Neuroscience & Behavior"
"6788","NEURORADIOLOGY","Neuroscience & Behavior"
"6789","JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM","Neuroscience & Behavior"
"6790","EPILEPSY RESEARCH","Neuroscience & Behavior"
"6791","Cognitive Neurodynamics","Neuroscience & Behavior"
"6792","Current Treatment Options in Neurology","Neuroscience & Behavior"
"6793","Brain and Behavior","Neuroscience & Behavior"
"6794","DEVELOPMENTAL PSYCHOBIOLOGY","Neuroscience & Behavior"
"6795","JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY","Neuroscience & Behavior"
"6796","JOURNAL OF THE NEUROLOGICAL SCIENCES","Neuroscience & Behavior"
"6797","CURRENT NEUROVASCULAR RESEARCH","Neuroscience & Behavior"
"6798","SEIZURE-EUROPEAN JOURNAL OF EPILEPSY","Neuroscience & Behavior"
"6799","NEUROSCIENCE LETTERS","Neuroscience & Behavior"
"6800","BRAIN BEHAVIOR AND EVOLUTION","Neuroscience & Behavior"
"6801","EXPERIMENTAL BRAIN RESEARCH","Neuroscience & Behavior"
"6802","JOURNAL OF NEUROSCIENCE METHODS","Neuroscience & Behavior"
"6803","CHILD NEUROPSYCHOLOGY","Neuroscience & Behavior"
"6804","SYNAPSE","Neuroscience & Behavior"
"6805","PSYCHIATRY AND CLINICAL NEUROSCIENCES","Neuroscience & Behavior"
"6806","NEUROSCIENCE RESEARCH","Neuroscience & Behavior"
"6807","BEHAVIOURAL PHARMACOLOGY","Neuroscience & Behavior"
"6808","Current Pain and Headache Reports","Neuroscience & Behavior"
"6809","NEUROLOGIC CLINICS","Neuroscience & Behavior"
"6810","BMC Neurology","Neuroscience & Behavior"
"6811","Advances in the Study of Behavior","Neuroscience & Behavior"
"6812","EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY","Neuroscience & Behavior"
"6813","Journal of Clinical Neurology","Neuroscience & Behavior"
"6814","JOURNAL OF COMPUTATIONAL NEUROSCIENCE","Neuroscience & Behavior"
"6815","VISUAL NEUROSCIENCE","Neuroscience & Behavior"
"6816","Neuropsychiatric Disease and Treatment","Neuroscience & Behavior"
"6817","PEDIATRIC NEUROLOGY","Neuroscience & Behavior"
"6818","CLINICAL EEG AND NEUROSCIENCE","Neuroscience & Behavior"
"6819","JOURNAL OF NEUROGENETICS","Neuroscience & Behavior"
"6820","SEMINARS IN NEUROLOGY","Neuroscience & Behavior"
"6821","Journal of Neurologic Physical Therapy","Neuroscience & Behavior"
"6822","JOURNAL OF CHEMICAL NEUROANATOMY","Neuroscience & Behavior"
"6823","NEUROLOGIA","Neuroscience & Behavior"
"6824","BRAIN & DEVELOPMENT","Neuroscience & Behavior"
"6825","NEUROLOGICAL SCIENCES","Neuroscience & Behavior"
"6826","VISION RESEARCH","Neuroscience & Behavior"
"6827","NEUROPSYCHOBIOLOGY","Neuroscience & Behavior"
"6828","CLINICAL NEUROPHARMACOLOGY","Neuroscience & Behavior"
"6829","PSYCHIATRIC GENETICS","Neuroscience & Behavior"
"6830","Behavioral and Brain Functions","Neuroscience & Behavior"
"6831","INTERNATIONAL JOURNAL OF NEUROSCIENCE","Neuroscience & Behavior"
"6832","ACTA NEUROBIOLOGIAE EXPERIMENTALIS","Neuroscience & Behavior"
"6833","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","Neuroscience & Behavior"
"6834","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","Neuroscience & Behavior"
"6835","Pain Research & Management","Neuroscience & Behavior"
"6836","Progress in Brain Research","Neuroscience & Behavior"
"6837","JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS","Neuroscience & Behavior"
"6838","BEHAVIOURAL NEUROLOGY","Neuroscience & Behavior"
"6839","JOURNAL OF NEUROIMAGING","Neuroscience & Behavior"
"6840","AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL","Neuroscience & Behavior"
"6841","American Journal of Alzheimers Disease and Other Dementias","Neuroscience & Behavior"
"6842","BIOLOGICAL CYBERNETICS","Neuroscience & Behavior"
"6843","Journal of Stroke & Cerebrovascular Diseases","Neuroscience & Behavior"
"6844","NEUROSIGNALS","Neuroscience & Behavior"
"6845","Developmental Neurorehabilitation","Neuroscience & Behavior"
"6846","JOURNAL OF SPINAL CORD MEDICINE","Neuroscience & Behavior"
"6847","JOURNAL OF NEURO-OPHTHALMOLOGY","Neuroscience & Behavior"
"6848","NEUROIMAGING CLINICS OF NORTH AMERICA","Neuroscience & Behavior"
"6849","NEUROPATHOLOGY","Neuroscience & Behavior"
"6850","SPINAL CORD","Neuroscience & Behavior"
"6851","Clinical Psychopharmacology and Neuroscience","Neuroscience & Behavior"
"6852","ACTA NEUROLOGICA BELGICA","Neuroscience & Behavior"
"6853","NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY","Neuroscience & Behavior"
"6854","PHARMACOPSYCHIATRY","Neuroscience & Behavior"
"6855","Neuropsychiatry","Neuroscience & Behavior"
"6856","NEUROREHABILITATION","Neuroscience & Behavior"
"6857","NEUROREHABILITATION","Neuroscience & Behavior"
"6858","JOURNAL OF CHILD NEUROLOGY","Neuroscience & Behavior"
"6859","NEUROLOGICAL RESEARCH","Neuroscience & Behavior"
"6860","NEUROLOGY INDIA","Neuroscience & Behavior"
"6861","EUROPEAN NEUROLOGY","Neuroscience & Behavior"
"6862","JOURNAL OF CLINICAL NEUROSCIENCE","Neuroscience & Behavior"
"6863","NEUROREPORT","Neuroscience & Behavior"
"6864","JOURNAL OF CLINICAL NEUROPHYSIOLOGY","Neuroscience & Behavior"
"6865","Seminars in Pediatric Neurology","Neuroscience & Behavior"
"6866","JOURNAL OF NEUROLINGUISTICS","Neuroscience & Behavior"
"6867","JOURNAL OF NEUROLINGUISTICS","Neuroscience & Behavior"
"6868","NEUROPEDIATRICS","Neuroscience & Behavior"
"6869","CLINICAL NEUROPATHOLOGY","Neuroscience & Behavior"
"6870","CLINICAL AUTONOMIC RESEARCH","Neuroscience & Behavior"
"6871","INVERTEBRATE NEUROSCIENCE","Neuroscience & Behavior"
"6872","FOLIA NEUROPATHOLOGICA","Neuroscience & Behavior"
"6873","NEUROCASE","Neuroscience & Behavior"
"6874","Brain Tumor Pathology","Neuroscience & Behavior"
"6875","Cognitive and Behavioral Neurology","Neuroscience & Behavior"
"6876","JOURNAL OF PSYCHOPHYSIOLOGY","Neuroscience & Behavior"
"6877","JOURNAL OF PSYCHOPHYSIOLOGY","Neuroscience & Behavior"
"6878","Multiple Sclerosis and Related Disorders","Neuroscience & Behavior"
"6879","APHASIOLOGY","Neuroscience & Behavior"
"6880","EXPERIMENTAL AGING RESEARCH","Neuroscience & Behavior"
"6881","Chemosensory Perception","Neuroscience & Behavior"
"6882","JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION","Neuroscience & Behavior"
"6883","MOTOR CONTROL","Neuroscience & Behavior"
"6884","Translational Neuroscience","Neuroscience & Behavior"
"6885","Neural Regeneration Research","Neuroscience & Behavior"
"6886","REVUE NEUROLOGIQUE","Neuroscience & Behavior"
"6887","EPILEPTIC DISORDERS","Neuroscience & Behavior"
"6888","ARQUIVOS DE NEURO-PSIQUIATRIA","Neuroscience & Behavior"
"6889","SCHMERZ","Neuroscience & Behavior"
"6890","NEUROLOGIST","Neuroscience & Behavior"
"6891","CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES","Neuroscience & Behavior"
"6892","NERVENARZT","Neuroscience & Behavior"
"6893","FORTSCHRITTE DER NEUROLOGIE PSYCHIATRIE","Neuroscience & Behavior"
"6894","Journal of Integrative Neuroscience","Neuroscience & Behavior"
"6895","ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH","Neuroscience & Behavior"
"6896","SOMATOSENSORY AND MOTOR RESEARCH","Neuroscience & Behavior"
"6897","ACTA NEUROPSYCHIATRICA","Neuroscience & Behavior"
"6898","Neurologia i Neurochirurgia Polska","Neuroscience & Behavior"
"6899","Annals of Indian Academy of Neurology","Neuroscience & Behavior"
"6900","REVISTA DE NEUROLOGIA","Neuroscience & Behavior"
