"";"JCR.Abbreviated.Title";"Full.Journal.Title";"Issn";"Subject.Category";"Discipline.Scientifique.OST";"Origine";"Abreviation"
"10919";"NAT REV NEUROSCI";"NATURE REVIEWS NEUROSCIENCE";"1471-003X";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10920";"NAT REV RHEUMATOL";"NATURE REVIEWS RHEUMATOLOGY";"1759-4790";"Rheumatology";"Recherche Médicale";"SCIE";"WH"
"10921";"NAT REV UROL";"NATURE REVIEWS UROLOGY";"1759-4812";"Urology & Nephrology";"Recherche Médicale";"SCIE";"ZA"
"10922";"NAT SCI SLEEP";"NATURE AND SCIENCE OF SLEEP";"1179-1608";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"10923";"NAT SCI SLEEP";"NATURE AND SCIENCE OF SLEEP";"1179-1608";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10924";"NAT STRUCT MOL BIOL";"NATURE STRUCTURAL & MOLECULAR BIOLOGY";"1545-9993";"Biochemistry & Molecular Biology";"Biologie Fondamentale";"SCIE";"CQ"
"10925";"NAT STRUCT MOL BIOL";"NATURE STRUCTURAL & MOLECULAR BIOLOGY";"1545-9993";"Biophysics";"Biologie Fondamentale";"SCIE";"DA"
"10926";"NAT STRUCT MOL BIOL";"NATURE STRUCTURAL & MOLECULAR BIOLOGY";"1545-9993";"Cell Biology";"Biologie Fondamentale";"SCIE";"DR"
"10927";"NATL ACAD SCI LETT";"NATIONAL ACADEMY SCIENCE LETTERS-INDIA";"0250-541X";"Multidisciplinary Sciences";"Multidisciplinaire";"SCIE";"RO"
"10928";"NATL MED J INDIA";"NATIONAL MEDICAL JOURNAL OF INDIA";"0970-258X";"Medicine, General & Internal";"Recherche Médicale";"SCIE";"PY"
"10929";"NATL SCI REV";"NATIONAL SCIENCE REVIEW";"2095-5138";"Multidisciplinary Sciences";"Multidisciplinaire";"SCIE";"RO"
"10930";"NATURE";"NATURE";"0028-0836";"Multidisciplinary Sciences";"Multidisciplinaire";"SCIE";"RO"
"10931";"NAUPLIUS";"NAUPLIUS";"0104-6497";"Marine & Freshwater Biology";"Sciences de l'Univers";"SCIE";"PI"
"10932";"NAUPLIUS";"NAUPLIUS";"0104-6497";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"10933";"NAUTILUS";"NAUTILUS";"0028-1344";"Marine & Freshwater Biology";"Sciences de l'Univers";"SCIE";"PI"
"10934";"NAUTILUS";"NAUTILUS";"0028-1344";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"10935";"NAV ENG J";"NAVAL ENGINEERS JOURNAL";"0028-1425";"Engineering, Civil";"Sciences pour l'Ingénieur";"SCIE";"IM"
"10936";"NAV ENG J";"NAVAL ENGINEERS JOURNAL";"0028-1425";"Engineering, Marine";"Sciences pour l'Ingénieur";"SCIE";"IL"
"10937";"NAV ENG J";"NAVAL ENGINEERS JOURNAL";"0028-1425";"Oceanography";"Sciences de l'Univers";"SCIE";"SI"
"10938";"NAV RES LOG";"NAVAL RESEARCH LOGISTICS";"0894-069X";"Operations Research & Management Science";"Sciences pour l'Ingénieur";"SCIE";"PE"
"10939";"NAVIGATION-US";"NAVIGATION-JOURNAL OF THE INSTITUTE OF NAVIGATION";"0028-1522";"Engineering, Aerospace";"Sciences pour l'Ingénieur";"SCIE";"AI"
"10940";"NAVIGATION-US";"NAVIGATION-JOURNAL OF THE INSTITUTE OF NAVIGATION";"0028-1522";"Remote Sensing";"Sciences pour l'Ingénieur";"SCIE";"SR"
"10941";"NAVIGATION-US";"NAVIGATION-JOURNAL OF THE INSTITUTE OF NAVIGATION";"0028-1522";"Telecommunications";"Sciences pour l'Ingénieur";"SCIE";"YE"
"10942";"NDT&E INT";"NDT & E INTERNATIONAL";"0963-8695";"Materials Science, Characterization & Testing";"Chimie";"SCIE";"QF"
"10943";"NEAR SURF GEOPHYS";"NEAR SURFACE GEOPHYSICS";"1569-4445";"Geochemistry & Geophysics";"Sciences de l'Univers";"SCIE";"GC"
"10944";"NEFROLOGIA";"NEFROLOGIA";"0211-6995";"Urology & Nephrology";"Recherche Médicale";"SCIE";"ZA"
"10945";"NEMATOLOGY";"NEMATOLOGY";"1388-5545";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"10946";"NEMATROPICA";"NEMATROPICA";"0099-5444";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"10947";"NEOBIOTA";"NEOBIOTA";"1619-0033";"Biodiversity Conservation";"Biologie Appliquée-Ecologie";"SCIE";"BD"
"10948";"NEOBIOTA";"NEOBIOTA";"1619-0033";"Ecology";"Biologie Appliquée-Ecologie";"SCIE";"GU"
"10949";"NEONATOLOGY";"NEONATOLOGY";"1661-7800";"Pediatrics";"Recherche Médicale";"SCIE";"TQ"
"10950";"NEOPLASIA";"NEOPLASIA";"1476-5586";"Oncology";"Recherche Médicale";"SCIE";"DM"
"10951";"NEOPLASMA";"NEOPLASMA";"0028-2685";"Oncology";"Recherche Médicale";"SCIE";"DM"
"10952";"NEOTROP ENTOMOL";"NEOTROPICAL ENTOMOLOGY";"1519-566X";"Entomology";"Biologie Appliquée-Ecologie";"SCIE";"IY"
"10953";"NEOTROP ICHTHYOL";"NEOTROPICAL ICHTHYOLOGY";"1679-6225";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"10954";"NEPHROL DIAL TRANSPL";"NEPHROLOGY DIALYSIS TRANSPLANTATION";"0931-0509";"Transplantation";"Recherche Médicale";"SCIE";"YP"
"10955";"NEPHROL DIAL TRANSPL";"NEPHROLOGY DIALYSIS TRANSPLANTATION";"0931-0509";"Urology & Nephrology";"Recherche Médicale";"SCIE";"ZA"
"10956";"NEPHROL NURS J";"NEPHROLOGY NURSING JOURNAL";"1526-744X";"Nursing";"Recherche Médicale";"SCIE";"RZ"
"10957";"NEPHROL NURS J";"NEPHROLOGY NURSING JOURNAL";"1526-744X";"Urology & Nephrology";"Recherche Médicale";"SCIE";"ZA"
"10958";"NEPHROL THER";"NEPHROLOGIE & THERAPEUTIQUE";"1769-7255";"Urology & Nephrology";"Recherche Médicale";"SCIE";"ZA"
"10959";"NEPHROLOGY";"NEPHROLOGY";"1320-5358";"Urology & Nephrology";"Recherche Médicale";"SCIE";"ZA"
"10960";"NEPHRON";"NEPHRON";"1660-8151";"Urology & Nephrology";"Recherche Médicale";"SCIE";"ZA"
"10961";"NERVENARZT";"NERVENARZT";"0028-2804";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"10962";"NERVENARZT";"NERVENARZT";"0028-2804";"Psychiatry";"Recherche Médicale";"SCIE";"VE"
"10963";"NETH HEART J";"NETHERLANDS HEART JOURNAL";"1568-5888";"Cardiac & Cardiovascular Systems";"Recherche Médicale";"SCIE";"DQ"
"10964";"NETH J GEOSCI";"NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW";"0016-7746";"Geosciences, Multidisciplinary";"Sciences de l'Univers";"SCIE";"LE"
"10965";"NETH J MED";"NETHERLANDS JOURNAL OF MEDICINE";"0300-2977";"Medicine, General & Internal";"Recherche Médicale";"SCIE";"PY"
"10966";"NETW HETEROG MEDIA";"NETWORKS AND HETEROGENEOUS MEDIA";"1556-1801";"Mathematics, Interdisciplinary Applications";"Mathématiques";"SCIE";"PO"
"10967";"NETW SPAT ECON";"NETWORKS & SPATIAL ECONOMICS";"1566-113X";"Operations Research & Management Science";"Sciences pour l'Ingénieur";"SCIE";"PE"
"10968";"NETW SPAT ECON";"NETWORKS & SPATIAL ECONOMICS";"1566-113X";"Transportation Science & Technology";"Sciences pour l'Ingénieur";"SCIE";"YR"
"10969";"NETWORK-COMP NEURAL";"NETWORK-COMPUTATION IN NEURAL SYSTEMS";"0954-898X";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"10970";"NETWORK-COMP NEURAL";"NETWORK-COMPUTATION IN NEURAL SYSTEMS";"0954-898X";"Engineering, Electrical & Electronic";"Sciences pour l'Ingénieur";"SCIE";"IQ"
"10971";"NETWORK-COMP NEURAL";"NETWORK-COMPUTATION IN NEURAL SYSTEMS";"0954-898X";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10972";"NETWORKS";"NETWORKS";"0028-3045";"Computer Science, Hardware & Architecture";"Sciences pour l'Ingénieur";"SCIE";"ES"
"10973";"NETWORKS";"NETWORKS";"0028-3045";"Operations Research & Management Science";"Sciences pour l'Ingénieur";"SCIE";"PE"
"10974";"NEUES JAHRB GEOL P-A";"NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE-ABHANDLUNGEN";"0077-7749";"Paleontology";"Sciences de l'Univers";"SCIE";"TE"
"10975";"NEUES JB MINER ABH";"NEUES JAHRBUCH FUR MINERALOGIE-ABHANDLUNGEN";"0077-7757";"Mineralogy";"Sciences de l'Univers";"SCIE";"RE"
"10976";"NEURAL COMPUT";"NEURAL COMPUTATION";"0899-7667";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"10977";"NEURAL COMPUT";"NEURAL COMPUTATION";"0899-7667";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10978";"NEURAL COMPUT APPL";"NEURAL COMPUTING & APPLICATIONS";"0941-0643";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"10979";"NEURAL DEV";"NEURAL DEVELOPMENT";"1749-8104";"Developmental Biology";"Biologie Fondamentale";"SCIE";"HY"
"10980";"NEURAL DEV";"NEURAL DEVELOPMENT";"1749-8104";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10981";"NEURAL NETW WORLD";"NEURAL NETWORK WORLD";"1210-0552";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"10982";"NEURAL NETWORKS";"NEURAL NETWORKS";"0893-6080";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"10983";"NEURAL NETWORKS";"NEURAL NETWORKS";"0893-6080";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10984";"NEURAL PLAST";"NEURAL PLASTICITY";"2090-5904";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10985";"NEURAL PROCESS LETT";"NEURAL PROCESSING LETTERS";"1370-4621";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"10986";"NEURAL REGEN RES";"NEURAL REGENERATION RESEARCH";"1673-5374";"Cell Biology";"Biologie Fondamentale";"SCIE";"DR"
"10987";"NEURAL REGEN RES";"NEURAL REGENERATION RESEARCH";"1673-5374";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10988";"NEURO-ONCOLOGY";"NEURO-ONCOLOGY";"1522-8517";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"10989";"NEURO-ONCOLOGY";"NEURO-ONCOLOGY";"1522-8517";"Oncology";"Recherche Médicale";"SCIE";"DM"
"10990";"NEUROBIOL AGING";"NEUROBIOLOGY OF AGING";"0197-4580";"Geriatrics & Gerontology";"Recherche Médicale";"SCIE";"LI"
"10991";"NEUROBIOL AGING";"NEUROBIOLOGY OF AGING";"0197-4580";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10992";"NEUROBIOL DIS";"NEUROBIOLOGY OF DISEASE";"0969-9961";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10993";"NEUROBIOL LEARN MEM";"NEUROBIOLOGY OF LEARNING AND MEMORY";"1074-7427";"Behavioral Sciences";"Biologie Fondamentale";"SCIE";"CN"
"10994";"NEUROBIOL LEARN MEM";"NEUROBIOLOGY OF LEARNING AND MEMORY";"1074-7427";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"10995";"NEUROBIOL LEARN MEM";"NEUROBIOLOGY OF LEARNING AND MEMORY";"1074-7427";"Psychology";"Biologie Fondamentale";"SCIE";"VI"
"10996";"NEUROCASE";"NEUROCASE";"1355-4794";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"10997";"NEUROCASE";"NEUROCASE";"1355-4794";"Psychiatry";"Recherche Médicale";"SCIE";"VE"
"10998";"NEUROCASE";"NEUROCASE";"1355-4794";"Psychology";"Biologie Fondamentale";"SCIE";"VI"
"10999";"NEUROCHEM INT";"NEUROCHEMISTRY INTERNATIONAL";"0197-0186";"Biochemistry & Molecular Biology";"Biologie Fondamentale";"SCIE";"CQ"
"11000";"NEUROCHEM INT";"NEUROCHEMISTRY INTERNATIONAL";"0197-0186";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11001";"NEUROCHEM J+";"NEUROCHEMICAL JOURNAL";"1819-7124";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11002";"NEUROCHEM RES";"NEUROCHEMICAL RESEARCH";"0364-3190";"Biochemistry & Molecular Biology";"Biologie Fondamentale";"SCIE";"CQ"
"11003";"NEUROCHEM RES";"NEUROCHEMICAL RESEARCH";"0364-3190";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11004";"NEUROCHIRURGIE";"NEUROCHIRURGIE";"0028-3770";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11005";"NEUROCHIRURGIE";"NEUROCHIRURGIE";"0028-3770";"Surgery";"Recherche Médicale";"SCIE";"YA"
"11006";"NEUROCIRUGIA";"NEUROCIRUGIA";"1130-1473";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11007";"NEUROCIRUGIA";"NEUROCIRUGIA";"1130-1473";"Surgery";"Recherche Médicale";"SCIE";"YA"
"11008";"NEUROCOMPUTING";"NEUROCOMPUTING";"0925-2312";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"11009";"NEUROCRIT CARE";"NEUROCRITICAL CARE";"1541-6933";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11010";"NEUROCRIT CARE";"NEUROCRITICAL CARE";"1541-6933";"Critical Care Medicine";"Recherche Médicale";"SCIE";"DS"
"11011";"NEURODEGENER DIS";"NEURODEGENERATIVE DISEASES";"1660-2854";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11012";"NEURODEGENER DIS";"NEURODEGENERATIVE DISEASES";"1660-2854";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11013";"NEUROENDOCRINOL LETT";"NEUROENDOCRINOLOGY LETTERS";"0172-780X";"Endocrinology & Metabolism";"Recherche Médicale";"SCIE";"IA"
"11014";"NEUROENDOCRINOL LETT";"NEUROENDOCRINOLOGY LETTERS";"0172-780X";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11015";"NEUROENDOCRINOLOGY";"NEUROENDOCRINOLOGY";"0028-3835";"Endocrinology & Metabolism";"Recherche Médicale";"SCIE";"IA"
"11016";"NEUROENDOCRINOLOGY";"NEUROENDOCRINOLOGY";"0028-3835";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11017";"NEUROEPIDEMIOLOGY";"NEUROEPIDEMIOLOGY";"0251-5350";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11018";"NEUROEPIDEMIOLOGY";"NEUROEPIDEMIOLOGY";"0251-5350";"Public, Environmental & Occupational Health";"Recherche Médicale";"SCIE";"NE"
"11019";"NEUROETHICS-NETH";"NEUROETHICS";"1874-5490";"Medical Ethics";"Recherche Médicale";"SCIE";"OO"
"11020";"NEUROGASTROENT MOTIL";"NEUROGASTROENTEROLOGY AND MOTILITY";"1350-1925";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11021";"NEUROGASTROENT MOTIL";"NEUROGASTROENTEROLOGY AND MOTILITY";"1350-1925";"Gastroenterology & Hepatology";"Recherche Médicale";"SCIE";"KI"
"11022";"NEUROGASTROENT MOTIL";"NEUROGASTROENTEROLOGY AND MOTILITY";"1350-1925";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11023";"NEUROGENETICS";"NEUROGENETICS";"1364-6745";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11024";"NEUROGENETICS";"NEUROGENETICS";"1364-6745";"Genetics & Heredity";"Biologie Fondamentale";"SCIE";"KM"
"11025";"NEUROIMAG CLIN N AM";"NEUROIMAGING CLINICS OF NORTH AMERICA";"1052-5149";"Neuroimaging";"Biologie Fondamentale";"SCIE";"RX"
"11026";"NEUROIMAG CLIN N AM";"NEUROIMAGING CLINICS OF NORTH AMERICA";"1052-5149";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11027";"NEUROIMAG CLIN N AM";"NEUROIMAGING CLINICS OF NORTH AMERICA";"1052-5149";"Radiology, Nuclear Medicine & Medical Imaging";"Recherche Médicale";"SCIE";"VY"
"11028";"NEUROIMAGE";"NEUROIMAGE";"1053-8119";"Neuroimaging";"Biologie Fondamentale";"SCIE";"RX"
"11029";"NEUROIMAGE";"NEUROIMAGE";"1053-8119";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11030";"NEUROIMAGE";"NEUROIMAGE";"1053-8119";"Radiology, Nuclear Medicine & Medical Imaging";"Recherche Médicale";"SCIE";"VY"
"11031";"NEUROIMAGE-CLIN";"NEUROIMAGE-CLINICAL";"2213-1582";"Neuroimaging";"Biologie Fondamentale";"SCIE";"RX"
"11032";"NEUROIMMUNOMODULAT";"NEUROIMMUNOMODULATION";"1021-7401";"Endocrinology & Metabolism";"Recherche Médicale";"SCIE";"IA"
"11033";"NEUROIMMUNOMODULAT";"NEUROIMMUNOMODULATION";"1021-7401";"Immunology";"Recherche Médicale";"SCIE";"NI"
"11034";"NEUROIMMUNOMODULAT";"NEUROIMMUNOMODULATION";"1021-7401";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11035";"NEUROINFORMATICS";"NEUROINFORMATICS";"1539-2791";"Computer Science, Interdisciplinary Applications";"Sciences pour l'Ingénieur";"SCIE";"EV"
"11036";"NEUROINFORMATICS";"NEUROINFORMATICS";"1539-2791";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11037";"NEUROL ASIA";"NEUROLOGY ASIA";"1823-6138";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11038";"NEUROL CLIN";"NEUROLOGIC CLINICS";"0733-8619";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11039";"NEUROL CLIN";"NEUROLOGIC CLINICS";"0733-8619";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11040";"NEUROL INDIA";"NEUROLOGY INDIA";"0028-3886";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11041";"NEUROL MED-CHIR";"NEUROLOGIA MEDICO-CHIRURGICA";"0470-8105";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11042";"NEUROL MED-CHIR";"NEUROLOGIA MEDICO-CHIRURGICA";"0470-8105";"Surgery";"Recherche Médicale";"SCIE";"YA"
"11043";"NEUROL NEUROCHIR POL";"NEUROLOGIA I NEUROCHIRURGIA POLSKA";"0028-3843";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11044";"NEUROL RES";"NEUROLOGICAL RESEARCH";"0161-6412";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11045";"NEUROL RES";"NEUROLOGICAL RESEARCH";"0161-6412";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11046";"NEUROL SCI";"NEUROLOGICAL SCIENCES";"1590-1874";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11047";"NEUROL SCI";"NEUROLOGICAL SCIENCES";"1590-1874";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11048";"NEUROL-NEUROIMMUNOL";"NEUROLOGY-NEUROIMMUNOLOGY & NEUROINFLAMMATION";"2332-7812";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11049";"NEUROL-NEUROIMMUNOL";"NEUROLOGY-NEUROIMMUNOLOGY & NEUROINFLAMMATION";"2332-7812";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11050";"NEUROLOGIA";"NEUROLOGIA";"0213-4853";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11051";"NEUROLOGIST";"NEUROLOGIST";"1074-7931";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11052";"NEUROLOGY";"NEUROLOGY";"0028-3878";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11053";"NEUROMODULATION";"NEUROMODULATION";"1094-7159";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11054";"NEUROMODULATION";"NEUROMODULATION";"1094-7159";"Medicine, Research & Experimental";"Recherche Médicale";"SCIE";"QA"
"11055";"NEUROMOL MED";"NEUROMOLECULAR MEDICINE";"1535-1084";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11056";"NEUROMUSCULAR DISORD";"NEUROMUSCULAR DISORDERS";"0960-8966";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11057";"NEUROMUSCULAR DISORD";"NEUROMUSCULAR DISORDERS";"0960-8966";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11058";"NEURON";"NEURON";"0896-6273";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11059";"NEUROPATH APPL NEURO";"NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY";"0305-1846";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11060";"NEUROPATH APPL NEURO";"NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY";"0305-1846";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11061";"NEUROPATH APPL NEURO";"NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY";"0305-1846";"Pathology";"Recherche Médicale";"SCIE";"TM"
"11062";"NEUROPATHOLOGY";"NEUROPATHOLOGY";"0919-6544";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11063";"NEUROPATHOLOGY";"NEUROPATHOLOGY";"0919-6544";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11064";"NEUROPATHOLOGY";"NEUROPATHOLOGY";"0919-6544";"Pathology";"Recherche Médicale";"SCIE";"TM"
"11065";"NEUROPEDIATRICS";"NEUROPEDIATRICS";"0174-304X";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11066";"NEUROPEDIATRICS";"NEUROPEDIATRICS";"0174-304X";"Pediatrics";"Recherche Médicale";"SCIE";"TQ"
"11067";"NEUROPEPTIDES";"NEUROPEPTIDES";"0143-4179";"Endocrinology & Metabolism";"Recherche Médicale";"SCIE";"IA"
"11068";"NEUROPEPTIDES";"NEUROPEPTIDES";"0143-4179";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11069";"NEUROPHARMACOLOGY";"NEUROPHARMACOLOGY";"0028-3908";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11070";"NEUROPHARMACOLOGY";"NEUROPHARMACOLOGY";"0028-3908";"Pharmacology & Pharmacy";"Recherche Médicale";"SCIE";"TU"
"11071";"NEUROPHOTONICS";"NEUROPHOTONICS";"2329-423X";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11072";"NEUROPHOTONICS";"NEUROPHOTONICS";"2329-423X";"Optics";"Physique";"SCIE";"SY"
"11073";"NEUROPHYSIOL CLIN";"NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY";"0987-7053";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11074";"NEUROPHYSIOL CLIN";"NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY";"0987-7053";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11075";"NEUROPHYSIOL CLIN";"NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY";"0987-7053";"Physiology";"Biologie Fondamentale";"SCIE";"UM"
"11076";"NEUROPHYSIOLOGY+";"NEUROPHYSIOLOGY";"0090-2977";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11077";"NEUROPHYSIOLOGY+";"NEUROPHYSIOLOGY";"0090-2977";"Physiology";"Biologie Fondamentale";"SCIE";"UM"
"11078";"NEUROPSYCH DIS TREAT";"NEUROPSYCHIATRIC DISEASE AND TREATMENT";"****-****";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11079";"NEUROPSYCH DIS TREAT";"NEUROPSYCHIATRIC DISEASE AND TREATMENT";"****-****";"Psychiatry";"Recherche Médicale";"SCIE";"VE"
"11080";"NEUROPSYCHOBIOLOGY";"NEUROPSYCHOBIOLOGY";"0302-282X";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11081";"NEUROPSYCHOBIOLOGY";"NEUROPSYCHOBIOLOGY";"0302-282X";"Psychiatry";"Recherche Médicale";"SCIE";"VE"
"11082";"NEUROPSYCHOBIOLOGY";"NEUROPSYCHOBIOLOGY";"0302-282X";"Psychology";"Biologie Fondamentale";"SCIE";"VI"
"11083";"NEUROPSYCHOL REHABIL";"NEUROPSYCHOLOGICAL REHABILITATION";"0960-2011";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11084";"NEUROPSYCHOL REHABIL";"NEUROPSYCHOLOGICAL REHABILITATION";"0960-2011";"Psychology";"Biologie Fondamentale";"SCIE";"VI"
"11085";"NEUROPSYCHOL REV";"NEUROPSYCHOLOGY REVIEW";"1040-7308";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11086";"NEUROPSYCHOLOGIA";"NEUROPSYCHOLOGIA";"0028-3932";"Behavioral Sciences";"Biologie Fondamentale";"SCIE";"CN"
"11087";"NEUROPSYCHOLOGIA";"NEUROPSYCHOLOGIA";"0028-3932";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11088";"NEUROPSYCHOLOGY";"NEUROPSYCHOLOGY";"0894-4105";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11089";"NEUROPSYCHOLOGY";"NEUROPSYCHOLOGY";"0894-4105";"Psychology";"Biologie Fondamentale";"SCIE";"VI"
"11090";"NEUROPSYCHOPHARMACOL";"NEUROPSYCHOPHARMACOLOGY";"0893-133X";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"11091";"NEUROPSYCHOPHARMACOL";"NEUROPSYCHOPHARMACOLOGY";"0893-133X";"Pharmacology & Pharmacy";"Recherche Médicale";"SCIE";"TU"
"11092";"NEUROPSYCHOPHARMACOL";"NEUROPSYCHOPHARMACOLOGY";"0893-133X";"Psychiatry";"Recherche Médicale";"SCIE";"VE"
"11093";"NEURORADIOLOGY";"NEURORADIOLOGY";"0028-3940";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11094";"NEURORADIOLOGY";"NEURORADIOLOGY";"0028-3940";"Neuroimaging";"Biologie Fondamentale";"SCIE";"RX"
"11095";"NEURORADIOLOGY";"NEURORADIOLOGY";"0028-3940";"Radiology, Nuclear Medicine & Medical Imaging";"Recherche Médicale";"SCIE";"VY"
"11096";"NEUROREHAB NEURAL RE";"NEUROREHABILITATION AND NEURAL REPAIR";"1545-9683";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11097";"NEUROREHAB NEURAL RE";"NEUROREHABILITATION AND NEURAL REPAIR";"1545-9683";"Rehabilitation";"Recherche Médicale";"SCIE";"WC"
"11098";"NEUROREHABILITATION";"NEUROREHABILITATION";"1053-8135";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"11099";"NEUROREHABILITATION";"NEUROREHABILITATION";"1053-8135";"Rehabilitation";"Recherche Médicale";"SCIE";"WC"
