UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;
 ;BIOLOGY OF REPRODUCTION;PROKINETICIN 1 IS A NEW BIOMARKER OF HUMAN OOCYTE COMPETENCE: EXPRESSION AND HORMONAL REGULATION THROUGHOUT LATE FOLLICULOGENESIS;"BARON, CHLOE; GUENIFFEY, AURORE; LAMOTTE, ANNA; MELLOUL, EVE; DUNAND, CAMILLE; VILLARET, LAURE; BESSONNAT, JULIEN; MAUROY, CHARLOTTE; BOUEIHL, THOMAS; HOFFMANN, PASCALE; HENNEBICQ, SYLVIANE; BROUILLET, SOPHIE";" CTR HOSP UNIV GRENOBLE, HOP COUPLE ENFANT, CTR CLIN & BIOL ASSISTANCE MED PROCREAT, CTR ETUD CONSERVAT OEUFS & SPERME HUMAINS CECOS, F-38700 LA TRONCHE, FRANCE.; ";
 ;BIOLOGY OF REPRODUCTION;PROKINETICIN 1 IS A NEW BIOMARKER OF HUMAN OOCYTE COMPETENCE: EXPRESSION AND HORMONAL REGULATION THROUGHOUT LATE FOLLICULOGENESIS;"COUTTON, CHARLES; MARTINEZ, GUILLAUME";" CTR HOSP UNIV GRENOBLE, HOP COUPLE ENFANT, DEPT GENET & PROCREAT, LAB GENET CHROMOS, F-38700 LA TRONCHE, FRANCE.; ";
 ;JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM;IMPAIRED 11 BETA-HYDROXYSTEROID DEHYDROGENASE TYPE 2 IN GLUCOCORTICOID-RESISTANT PATIENTS;CHABRE, OLIVIER;" CTR HOSP UNIV GRENOBLE, ENDOCRINOL, PAVILLON ECRINS, F-38700 GRENOBLE, FRANCE.; ";
 ;EUROPEAN NEUROLOGY;A PHASE 3 MULTICENTER, PROSPECTIVE, OPEN-LABEL EFFICACY AND SAFETY STUDY OF IMMUNE GLOBULIN (HUMAN) 10% CAPRYLATE/CHROMATOGRAPHY PURIFIED IN PATIENTS WITH MYASTHENIA GRAVIS EXACERBATIONS;LAGRANGE, EMMELINE;" CTR HOSP UNIV GRENOBLE, SERV NEUROL, GRENOBLE, FRANCE.; ";
 ;PEDIATRIC BLOOD & CANCER;SCLEROSING CHOLANGITIS IN CHILDHOOD LANGERHANS CELL HISTIOCYTOSIS: NATURAL HISTORY AND ASSOCIATED FACTORS;ARMARI-ALLA, CORINNE;" CTR HOSP UNIV GRENOBLE, DEPT PEDIAT HEMATOL & ONCOL, GRENOBLE, FRANCE.; ";
 ;PEDIATRIC BLOOD & CANCER;CUTANEOUS ADVERSE EVENTS IN CHILDREN TREATED WITH BRAF-INHIBITOR VEMURAFENIB FOR REFRACTORY BRAF (V600E) MUTATED LANGERHANS CELL HISTIOCYTOSIS: A EUROPEAN COHORT STUDY;PAGNIER, ANNE;" CTR HOSP UNIV GRENOBLE, DEPT PEDIAT HEMATOL & ONCOL, GRENOBLE, FRANCE.; ";
 ;ANTICANCER RESEARCH;SYSTEMATIC PROSTATE SAMPLING IN ADDITION TO MPMRI-TARGETED PROSTATE BIOPSY IMPROVES CANCER DETECTION RATE: RESULTS FROM A LARGE MULTICENTER RETROSPECTIVE SERIES;"DESCOTES, JEAN-LUC; FIARD, GAELLE";" CTR HOSP UNIV GRENOBLE, DEPT UROL, GRENOBLE, FRANCE.; ";
 ;INTENSIVE CARE MEDICINE;WHAT'S NEW IN MANAGEMENT AND CLEARING OF AIRWAY SECRETIONS IN ICU PATIENTS? IT IS TIME TO FOCUS ON COUGH AUGMENTATION;"TERZI, NICOLAS; GUERIN, CLAUDE";" CTR HOSP UNIV GRENOBLE, SERV MED INTENS REANIMAT, GRENOBLE, FRANCE.; ";
 ;ANNALS OF THE RHEUMATIC DISEASES;NEW CLASSIFICATION CRITERIA FOR RECURRENT AUTOINFLAMMATORY DISEASES APPLIED TO AN INDEPENDENT COHORT: EXPERIENCE FROM THE JIR COHORT DATABASE;PAGNIER, ANNE;" CTR HOSP UNIV GRENOBLE, LA TRONCHE, FRANCE.; ";
 ;ANNALS OF THE RHEUMATIC DISEASES;OPHTHALMOLOGICAL ADVERSE EVENTS UNDER JAK INHIBITORS IN PATIENTS WITH RHEUMATOID ARTHRITIS: CASE ANALYSIS OF THE EUROPEAN PHARMACOVIGILANCE DATABASE;LEPELLEY, MARION;" CTR HOSP UNIV GRENOBLE, LA TRONCHE, FRANCE.;";
 ;EUROPEAN JOURNAL OF NEUROLOGY;EFFICACY AND SAFETY OF IGIV-C IN PATIENTS WITH MYASTHENIA GRAVIS EXACERBATIONS: A MULTICENTER, PROSPECTIVE, OPEN-LABEL, NON-CONTROLLED CLINICAL TRIAL;"LAGRANGE, E.;";" CTR HOSP UNIV GRENOBLE, SERV NEUROL, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF HYPERTENSION;DISTINCTIVE FEATURES OF PATIENTS DIAGNOSED WITH FIBROMUSCULAR DYSPLASIA (FMD) AT AN OLDER AGE: A REPORT FROM THE EUROPEAN/INTERNATIONAL FMD REGISTRY;"SEINTURIER, C.;";" CTR HOSP UNIV GRENOBLE, GRENOBLE, FRANCE.; ";
 ;BONE MARROW TRANSPLANTATION;LETERMOVIR FOR PROPHYLAXIS OF CYTOMEGALOVIRUS (CMV) INFECTION OR DISEASE IN ALLOGENEIC HCT RECIPIENTS: EXPERIENCE OF SECONDARY PROPHYLAXIS IN THE FRENCH COMPASSIONATE PROGRAM;THIEBAUT, ANNE;" CTR HOSP UNIV GRENOBLE, HEMATOL, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF CARDIAC FAILURE;TARGETED MONO-THERAPY FOR NEWLY DIAGNOSED DILATED CARDIOMYOPATHY;ENNEZAT, PIERRE VLADIMIR;" CTR HOSP UNIV GRENOBLE, SERV CARDIOL, GRENOBLE, FRANCE.;";
 ;HEPATOLOGY;THE ECONOMIC COST AND HEALTH BURDEN OF NON ALCOHOLIC STEATOHEPATITIS IN THE EU5 COUNTRIES;LEROY, VINCENT;" CTR HOSP UNIV GRENOBLE, GRENOBLE, FRANCE.; ";
 ;ANNALS OF ONCOLOGY;SAFETY PROFILE OF TEPOTINIB IN PATIENTS WITH ADVANCED SOLID TUMORS: POOLED ANALYSIS OF PHASE I AND II DATA;"DECAENS, T.;";" HOP NORD, CTR HOSP UNIV GRENOBLE, SERV HEPATOGASTROENTEROL, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF THORACIC ONCOLOGY;IASLC GLOBAL SURVEY FOR PATHOLOGISTS ON PD-L1 TESTING FOR NON-SMALL CELL LUNG CANCER;"BRAMBILLA, E.;";" CTR HOSP UNIV GRENOBLE, DEPT ANAT & CYTOL PATHOL, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF THORACIC ONCOLOGY;RESULTS FROM THE IASLC GLOBAL SURVEY ON MOLECULAR TESTING IN LUNG CANCER;"LANTUEJOUL, S.;";" CTR HOSP UNIV GRENOBLE, GRENOBLE, FRANCE.; ";
 ;JOINT BONE SPINE;RECOMMENDATIONS FOR THE ASSESSMENT AND OPTIMIZATION OF ADHERENCE TO DISEASE-MODIFYING DRUGS IN CHRONIC INFLAMMATORY RHEUMATIC DISEASES: A PROCESS BASED ON LITERATURE REVIEWS AND EXPERT CONSENSUS;"ROMAND, XAVIER; GAUDIN, PHILIPPE";" GRENOBLE HOSP, DEPT RHEUMATOL, F-38700 LA TRONCHE, FRANCE.; ";
 ;FRONTIERS IN GENETICS;CIRCULAR RNAS AND RNA SPLICE VARIANTS AS BIOMARKERS FOR PROGNOSIS AND THERAPEUTIC RESPONSE IN THE LIQUID BIOPSIES OF LUNG CANCER PATIENTS;DE FRAIPONT, FLORENCE;" GRENOBLE HOSP, LA TRONCHE, FRANCE.; ";
 ;JAMA DERMATOLOGY;ASSOCIATION OF TIME FROM PRIMARY DIAGNOSIS TO FIRST DISTANT RELAPSE OF METASTATIC MELANOMA WITH PROGRESSION OF DISEASE AND SURVIVAL;LECCIA, MARIE-THERESE;" GRENOBLE HOSP, DEPT DERMATOL, GRENOBLE, FRANCE.; ";
 ;STEM CELL RESEARCH & THERAPY;INTRAVENOUS DELIVERY OF ADIPOSE TISSUE-DERIVED MESENCHYMAL STEM CELLS IMPROVES BRAIN REPAIR IN HYPERGLYCEMIC STROKE RATS;DETANTE, OLIVIER;" GRENOBLE HOSP, NEUROL DEPT, STROKE UNIT, GRENOBLE, FRANCE.; ";
 ;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;A DEEP INTRONIC SPLICE MUTATION OF STAT3 UNDERLIES HYPER IGE SYNDROME BY NEGATIVE DOMINANCE;SARROT-REYNAULD, FRANCOISE;" GRENOBLE HOSP, INTERNAL MED UNIT, F-38043 GRENOBLE, FRANCE.; ";
 ;CANCER;QUALITY-OF-LIFE ASSESSMENT IN FRENCH PATIENTS WITH METASTATIC MELANOMA IN REAL LIFE;LECCIA, MARIE-THERESE;" GRENOBLE HOSP, DERMATOL UNIT, GRENOBLE, FRANCE.; ";
 ;HUMAN BRAIN MAPPING;HUBS DISRUPTION IN MESIAL TEMPORAL LOBE EPILEPSY. A RESTING-STATE FMRI STUDY ON A LANGUAGE-AND-MEMORY NETWORK;"RENARD, FELIX; ATTYE, ARNAUD; LAMALLE, LAURENT";" GRENOBLE HOSP, UMS IRMAGE, GRENOBLE, FRANCE.; ";
 ;ANNALS OF THE RHEUMATIC DISEASES;THERE ARE 4 MAIN QUESTIONNAIRES TO ASSESS ADHERENCE IN INFLAMMATORY ARTHRITIS BUT NONE OF THEM PERFORM WELL: A SYSTEMATIC LITERATURE REVIEW;ROMAND, XAVIER;" GRENOBLE HOSP, GRENOBLE, FRANCE.; ";
 ;NPJ GENOMIC MEDICINE;A FRAMEWORK TO IDENTIFY CONTRIBUTING GENES IN PATIENTS WITH PHELAN-MCDERMID SYNDROME (VOL 2, 32, 2017);"SATRE, VERONIQUE; COUTTON, CHARLES; DEVILLARD, FRANCOISE";" GRENOBLE HOSP, CYTOGENET UNIT, GRENOBLE, FRANCE.; ";
 ;NPJ GENOMIC MEDICINE;A FRAMEWORK TO IDENTIFY CONTRIBUTING GENES IN PATIENTS WITH PHELAN-MCDERMID SYNDROME (VOL 2, 32, 2017);DIETERICH, KLAUS;" GRENOBLE HOSP, CLIN GENET UNIT, GRENOBLE, FRANCE.; ";
 ;VALUE IN HEALTH;COST-EFFECTIVENESS OF TREATMENT SEQUENCES FOR BRAF-MUTATED METASTATIC MELANOMA PATIENTS IN REAL LIFE IN FRANCE;"LECCIA, M.; T.;";" GRENOBLE HOSP, GRENOBLE, FRANCE.; ";
 ;VALUE IN HEALTH;COST-EFFECTIVENESS OF TREATMENT SEQUENCES FOR BRAF WILD-TYPE METASTATIC MELANOMA IN REAL LIFE IN FRANCE;"LECCIA, M.; T.;";" GRENOBLE HOSP, GRENOBLE, FRANCE.; ";
CIC;;;;;
 ;EUROPEAN SPINE JOURNAL;PREDICTION OF BRACE EFFECT IN SCOLIOTIC PATIENTS: BLINDED EVALUATION OF A NOVEL BRACE SIMULATORAN OBSERVATIONAL CROSS-SECTIONAL STUDY;MOREAU-GAUDRY, ALEXANDRE;" IMAG, TIMC, IT, CIC, 5 AVE GRAND SABLON, F-38700 LA TRONCHE, FRANCE.;";
 ;BMJ OPEN;DETECTION OF PULMONARY NODULES: A CLINICAL STUDY PROTOCOL TO COMPARE ULTRA-LOW DOSE CHEST CT AND STANDARD LOW-DOSE CT USING ASIR-V;"CHIPON, EMILIE; MEDICI, MAUD; MOREAU GAUDRY, ALEXANDRE";" INSERM, CIC 1406, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY;MAJOR ISSUES OF CARE IN THALASSEMIA MAJOR CHILDREN REFUGEES;"PLANTAZ, DOMINIQUE; RUBIO, AMANDINE";" INSERM, CIC1406, GRENOBLE, FRANCE.;";
 ;BMC PEDIATRICS;NEBULIZED HYPERTONIC SALINE 3% FOR 1 VERSUS 3 DAYS IN HOSPITALIZED BRONCHIOLITIS: A BLINDED NON-INFERIORITY RANDOMIZED CONTROLLED TRIAL;"THORET, SOPHIE; RUBIO, AMANDINE; EGO, ANNE; PIN, ISABELLE";" INSERM, CIC U1406, FR-38000 GRENOBLE, FRANCE.; ";
 ;ANAESTHESIA CRITICAL CARE & PAIN MEDICINE;DEXMEDETOMIDINE TO FACILITATE NON-INVASIVE VENTILATION AFTER BLUNT CHEST TRAUMA: A RANDOMISED, DOUBLE-BLIND, CROSSOVER, PLACEBO-CONTROLLED PILOT STUDY;"GIORGIS-ALLEMAND, LISE; BOSSON, JEAN-LUC";" INSERM, CLIN RES CTR 1406, F-38000 GRENOBLE, FRANCE.; ";
DCM;;;;;
 ;EUROPEAN JOURNAL OF MASS SPECTROMETRY;EXTENDED KINETIC METHOD AND RRKM MODELING TO REINVESTIGATE PROLINE'S PROTON AFFINITY AND APPROACH THE MEANING OF EFFECTIVE TEMPERATURE;GIMBERT, YVES;" CNRS, DCM, UMR 5250, GRENOBLE 9, FRANCE.; ";
 ;EUROPEAN JOURNAL OF MASS SPECTROMETRY;MASS SPECTROMETRY EVIDENCE FOR SELF-RIGIDIFICATION OF PI-CONJUGATED OLIGOMERS CONTAINING 3,4-ETHYLENEDIOXYTHIOPHENE GROUPS USING RRKM THEORY AND INTERNAL ENERGY CALIBRATION;GIMBERT, YVES;" CNRS, DCM, UMR 5250, BP 53, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF MASS SPECTROMETRY;INVESTIGATION OF ACTIVATION ENERGIES FOR DISSOCIATION OF HOST-GUEST COMPLEXES IN THE GAS PHASE USING LOW-ENERGY COLLISION INDUCED DISSOCIATION;GATINEAU, DAVID;" CNRS, UMR 5250, DCM, BP 53, F-38041 GRENOBLE 9, FRANCE.; ";
 ;ORGANIC & BIOMOLECULAR CHEMISTRY;REGIOSPECIFIC FORMATION OF SUGAR-DERIVED KETONITRONE TOWARDS UNCONVENTIONAL C-BRANCHED PYRROLIZIDINES AND INDOLIZIDINES;PY, SANDRINE;" CNRS, DCM, F-38000 GRENOBLE, FRANCE.;";
 ;CHEMICAL REVIEWS;TACKLING THE CHALLENGES OF ENZYMATIC (BIO)FUEL CELLS;COSNIER, SERGE;" CNRS, UMR 5250, UMR, DCM, F-38000 GRENOBLE, FRANCE.; ";
 ;NATURE CHEMISTRY;PHOTOSENSITIZED OXIDATIVE ADDITION TO GOLD(I) ENABLES ALKYNYLATIVE CYCLIZATION OF O-ALKYLNYLPHENOLS WITH IODOALKYNES;GIMBERT, YVES;" CNRS, DCM UMR 5250, GRENOBLE, FRANCE.;";
 ;INORGANIC CHEMISTRY FRONTIERS;PHOTODETECTION OF DNA MISMATCHES BY DISSYMMETRIC RU(II) ACRIDINE BASED COMPLEXES;"LOISEAU, FREDERIQUE; DEJEU, JEROME; DEFRANCQ, ERIC";" UGA, DEPT CHIM MOL, UMR CNRS 5250, CS 40700, F-38058 GRENOBLE, FRANCE.;";
DPM;;;;;
 ;TALANTA;KISSING INTERACTIONS FOR THE DESIGN OF A MULTICOLOUR FLUORESCENCE ANISOTROPY CHIRAL APTASENSOR;"CHOVELON, BENOIT; FIORE, EMMANUELLE; PEYRIN, ERIC; RAVELET, CORINNE";" CNRS, DPM UMR 5063, F-38041 GRENOBLE, FRANCE.; ";
EDYTEM;;;;;
 ;GEOMORPHOLOGIE-RELIEF PROCESSUS ENVIRONNEMENT;MULTI-METHOD ANALYSIS OF THE DESTABILIZATION OF A MECHANICAL LIFT TOWER LOCATED ON A ROCK GLACIER IN THE FRENCH ALPS;"DUVILLARD, PIERRE-ALLAIN; RAVANEL, LUDOVIC";" UNIV SAVOIE MT BLANC, CNRS, EDYTEM UMR 5204, BATIMENT POLE MONTAGNE,5 BD MER CASPIENNE, F-73376 LE BOURGET DU LAC, CHAMBERY, FRANCE.; ";
 ;MOLECULAR ECOLOGY;BODY SIZE DETERMINES SOIL COMMUNITY ASSEMBLY IN A TROPICAL FOREST;GIGUET-COVEX, CHARLINE;" UNIV SAVOIE MT BLANC, CNRS, MINIST CULTURE & COMMUN, EDYTEM, CHAMBERY, FRANCE.;";
 ;GEOPHYSICS;INDUCED POLARIZATION RESPONSE OF POROUS MEDIA WITH METALLIC PARTICLES -PART 9: INFLUENCE OF PERMAFROST;"REVIL, ANDRE; ROSSI, MAGALI";" UNIV SAVOIE MT BLANC, CNRS, UMR 5204, LAB EDYTEM, CAMPUS SCI, F-73376 LE BOURGET DU LAC, CHAMBERY, FRANCE.; ";
 ;REMOTE SENSING OF ENVIRONMENT;ACCOUNTING FOR PERMAFROST CREEP IN HIGH-RESOLUTION SNOW DEPTH MAPPING BY MODELLING SUB-SNOW GROUND DEFORMATION;"BODIN, XAVIER; MARCER, MARCO";" UNIV SAVOIE MONT BLANC, CNRS, LAB EDYTEM, CHAMBERY, FRANCE.; ";
G2ELAB;;;;;
 ;IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS;VOLTAGE CONTROL IN LOW-VOLTAGE GRIDS USING DISTRIBUTED PHOTOVOLTAIC CONVERTERS AND CENTRALIZED DEVICES;HADJ-SAID, NOUREDINE;" GRENOBLE INP, G2ELAB, F-38402 GRENOBLE, FRANCE.;";
 ;IEEE ACCESS;ESTIMATING OCCUPANCY USING INTERACTIVE LEARNING WITH A SENSOR ENVIRONMENT REAL-TIME EXPERIMENTS;WURTZ, FREDERIC;" GRENOBLE INST TECHNOL, G2ELAB, GRENOBLE, FRANCE.;";
 ;2019 IEEE 20TH INTERNATIONAL CONFERENCE ON DIELECTRIC LIQUIDS (ICDL);PARTIAL DISCHARGE MEASUREMENTS ON DIBENZYLTOLUENE FOR HIGH TEMPERATURE ENCAPSULANT APPLICATION UP TO 350 DEGREES C;"MUSLIM, JOKO; LESAINT, OLIVIER; HANNA, RACHELLE";" INP, G2ELAB, F-38000 GRENOBLE, FRANCE.; ";
 ;2019 IEEE INTERNATIONAL CONFERENCE ON ENVIRONMENT AND ELECTRICAL ENGINEERING AND 2019 IEEE INDUSTRIAL AND COMMERCIAL POWER SYSTEMS EUROPE (EEEIC / I&CPS EUROPE);A MULTIAGENT AND IEC 61850-BASED FAULT LOCATION AND ISOLATION SYSTEM FOR DISTRIBUTION NETWORK WITH HIGH PV INTEGRATION - A CHIL IMPLEMENTATION;"TRAN THE HOANG; BESANGER, YVON";" GRENOBLE INP, CNRS, UGA, G2ELAB, F-38000 GRENOBLE, FRANCE.; ";
 ;2019 IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE (IEEE SSCI 2019);A STATISTICAL PROCESS CONTROL CHART APPROACH FOR OCCUPANCY ESTIMATION IN SMART BUILDINGS;WURTZ, FREDERIC;" GRENOBLE INST TECHNOL, G2ELAB, GRENOBLE, FRANCE.;";
 ;JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS;OPTICAL, DIELECTRIC PROPERTIES AND ENERGY STORAGE EFFICIENCY OF ZNO/EPOXY NANOCOMPOSITES;GALLOT-LAVALLEE, OLIVIER;" GRENOBLE UNIV ALPES, G2ELAB, GRENOBLE, FRANCE.; ";
 ;CHEMICAL ENGINEERING RESEARCH & DESIGN;HYDRODYNAMIC AND ELECTROSTATIC INTERACTIONS OF WATER DROPLET PAIRS IN OIL AND ELECTROCOALESCENCE;"XIA, YOU; REBOUD, JEAN-LUC";" UNIU GRENOBLE ALPES, CNRS, GRENOBLE INP, G2ELAB,INST ENGN, F-38000 GRENOBLE, FRANCE.;";
 ;INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS;3D EDDY CURRENTS COMPUTATION BY BEM USING THE MODIFIED MAGNETIC VECTOR POTENTIAL AND THE REDUCED MAGNETIC SCALAR POTENTIAL;QUANG-ANH PHAN;" G2ELAB, 21 AVE MARTYRS, F-38031 GRENOBLE, FRANCE.;";
 ;IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY;MODELING OF DYNAMIC CURRENT DISTRIBUTION IN REBCO INSULATED COILS USING A VOLUME INTEGRAL FORMULATION FOR PROTECTION PURPOSE;"ROZIER, B.;; RAMDANE, B.;; MEUNIER, G.;";" UNIV GRENOBLE ALPER, GRENOBLE INR, G2ELAB, CNRS, F-38000 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF ELECTRONIC MATERIALS;EFFECT OF ITO NANOPARTICLES ON DIELECTRIC RELAXATION PROCESSES AND AN ANALYSIS OF THE ELECTRIC IMPEDANCE CHARACTERISTICS OF ITO/EPOXY NANOCOMPOSITES FOR EMBEDDED CAPACITOR DEVICES;"GALLOT-LAVALLEE, O.;";" GRENOBLE UNIV ALPES, GRENOBLE ELECT ENGN LAB G2ELAB, GRENOBLE, FRANCE.; ";
 ;13TH JOINT CONFERENCE ON CHEMISTRY (13TH JCC);NH AND CN RADICAL EMISSION FROM CORONA POST DISCHARGE REGION IN HIGH DENSITY NITROGEN PLASMA;"BONIFACI, NELLY; DENAT, ANDRE";" CNRS, G2E LAB, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
 ;UNNES PHYSICS INTERNATIONAL SYMPOSIUM 2018 (UPIS2018);MOBILITY OF NON THERMAL ELECTRONS AND IONS IN VERY HIGH DENSITY AND PURIFIED NITROGEN CORONA DISCHARGE;"BONIFACI, N.;; DENAT, A.;";" CNRS, G2E LAB, 25 RUE MARTYRS, F-38042 GRENOBLE, FRANCE.; ";
GAEL;;;;;
 ;INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY;MODELLING THE IMPACT OF DIFFERENT FRONT-OF-PACKAGE NUTRITION LABELS ON MORTALITY FROM NON-COMMUNICABLE CHRONIC DISEASE;"CROSETTO, PAOLO; RUFFIEUX, BERNARD; MULLER, LAURENT";" INRA, GAEL, UMR 1215, F-38000 GRENOBLE, FRANCE.; ";
 ;ENVIRONMENT INTERNATIONAL;WHICH DECREASES IN AIR POLLUTION SHOULD BE TARGETED TO BRING HEALTH AND ECONOMIC BENEFITS AND IMPROVE ENVIRONMENTAL JUSTICE?;"BOUSCASSE, HELENE; MATHY, SANDRINE";" CNRS, GAEL, GRENOBLE, FRANCE.; ";
GIN;;;;;
 ;JOURNAL OF NEURORADIOLOGY;ANATOMO-FUNCTIONAL STUDY OF THE CEREBELLUM IN WORKING MEMORY IN CHILDREN TREATED FOR MEDULLOBLASTOMA;"DUC HA HOANG; KRAINIK, ALEXANDRE";" INSERM U836, GRENOBLE INST NEUROSCI, F-38000 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF AFFECTIVE DISORDERS;RECONSIDERATION OF THE FACTORIAL STRUCTURE OF THE BARRATT IMPULSIVENESS SCALE (BIS-11): ASSESSMENT OF IMPULSIVITY IN A LARGE POPULATION OF EUTHYMIC BIPOLAR PATIENTS;"BOUGEROL, THIERRY; POLOSAN, MIRCEA";" GRENOBLE INST NEUROSCI, INSERM, U836, CHEMIN FORTUNE FERRINI, F-38706 LA TRONCHE, FRANCE.; ";
 ;JOURNAL OF CLINICAL PSYCHIATRY;PREVALENCE OF METABOLIC SYNDROME AND ASSOCIATED FACTORS IN A COHORT OF INDIVIDUALS WITH TREATMENT-RESISTANT DEPRESSION: RESULTS FROM THE FACE-DR STUDY;"BOUGEROL, THIERRY; HOLTZMANN, JEROME";" GIN, INSERM U836, CHEMIN FORTUNE FERRINI, LA TRONCHE, FRANCE.; ";
 ;EUROPEAN NEUROPSYCHOPHARMACOLOGY;LITHIUM THERAPY IN BIPOLAR DISORDER IS ASSOCIATED WITH HIGHER IN-VIVO CORTICAL NEURITE DENSITY;"POLOSAN, M.;";" GRENOBLE INST NEUROSCI, INSERM U836, LA TRONCHE, FRANCE.; ";
 ;2019 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP);TUNABLE CNN COMPRESSION THROUGH DIMENSIONALITY REDUCTION;"BRILLET, LUCAS FERNANDEZ; CLEYET-MERLE, SEBASTIEN; NICOLAS, MARINA";" STMICROELECT R&D LTD, IMAGING DIV, GRENOBLE, FRANCE.; ";
 ;PSYCHOLOGICAL MEDICINE;PREVALENCE AND DETERMINANTS OF COGNITIVE IMPAIRMENT IN THE EUTHYMIC PHASE OF BIPOLAR DISORDERS: RESULTS FROM THE FACE-BD COHORT;BOUGEROL, THIERRY;" INSERM, GIN, U 836, CHEMIN FORTUNE FERRINI, F-38706 LA TRONCHE, FRANCE.; ";
 ;JOURNAL OF CELL SCIENCE;LOSS OF THE DEGLUTAMYLASE CCP5 PERTURBS MULTIPLE STEPS OF SPERMATOGENESIS AND LEADS TO MALE INFERTILITY;"BOSC, CHRISTOPHE; ANDRIEUX, ANNIE";" GIN, INSERM, U1216, F-38000 GRENOBLE, FRANCE.; ";
 ;FRONTIERS IN NEUROSCIENCE;MEG/EEG GROUP ANALYSIS WITH BRAINSTORM;TADEL, FRANCOIS;" INSERM U1216, GIN, GRENOBLE, FRANCE.; ";
 ;PRESSE MEDICALE;MOOD DISORDERS: WHEN SHOULD WE USE REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION?;DALL'IGNA, GAELLE;" INSERM, U1216, GIN, F-38000 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF ENGINEERING DESIGN;CAPTURING SIMULATION INTENT IN AN ONTOLOGY: CAD AND CAE INTEGRATION APPLICATION;"VILMART, HAROLD; LEON, JEAN-CLAUDE";" GRENOBLE UNIV, LJK LAB, INRIA, TEAM IMAGINE, GRENOBLE, FRANCE.; ";
 ;BRAIN STIMULATION;BATTERY LONGEVITY OF NEUROSTIMULATORS IN PARKINSON DISEASE: A HISTORIC COHORT STUDY;"SEIGNEURET, E.;; CHABARDES, S.;; CASTRIOTO, A.;; MORO, E.;; FRAIX, V.;";" GRENOBLE INST NEUROSCI GIN INSERM U1216 CEA UGA, GRENOBLE, FRANCE.; ";
 ;EPILEPSIA;A PERICYTE-GLIA SCARRING DEVELOPS AT THE LEAKY CAPILLARIES IN THE HIPPOCAMPUS DURING SEIZURE ACTIVITY;"BOUX, FABIEN; BARBIER, EMMANUEL";" GRENOBLE UNIV, U 1216, GIN, GRENOBLE NEUROSCI INST,INSERM, LA TRONCHE, FRANCE.;";
 ;PARKINSONISM & RELATED DISORDERS;PROGRAMMING PARAMETERS OF SUBTHALAMIC DEEP BRAIN STIMULATORS IN PARKINSON'S DISEASE FROM A CONTROLLED TRIAL;FRAIX, VALERIE;" GIN, F GRENOBLE, FRANCE.; ";
 ;BMC PSYCHIATRY;CLINICAL GUIDELINES FOR THE MANAGEMENT OF TREATMENT-RESISTANT DEPRESSION: FRENCH RECOMMENDATIONS FROM EXPERTS, THE FRENCH ASSOCIATION FOR BIOLOGICAL PSYCHIATRY AND NEUROPSYCHOPHARMACOLOGY AND THE FONDATION FONDAMENTAL;"CAMUS, V; EL-HAGE, W.;";" UNIV TOURS, CHRU TOURS, CLIN PSYCHIATR UNIV,IMAGING & BRAIN IBRAIN U1253, CTR EXPERT DEPRESS RESISTANTE FONDAMENTAL,INSERM, GRENOBLE, FRANCE.; ";
 ;BIOLOGY OPEN;A NEURODEVELOPMENTAL TUBB2B BETA-TUBULIN MUTATION IMPAIRS BIM1 (YEAST EB1)-DEPENDENT SPINDLE POSITIONING;"DENARIER, ERIC; ANDRIEUX, ANNIE; BOSCHERON, CECILE";" INSERM, U1216, F-38000 GRENOBLE, FRANCE.; ";
 ;CEREBRAL CORTEX;USE-DEPENDENT PLASTICITY IN HUMAN PRIMARY MOTOR HAND AREA: SYNERGISTIC INTERPLAY BETWEEN TRAINING AND IMMOBILIZATION;RAFFIN, ESTELLE;" GRENOBLE INST NEUROSCI, INSERM, U1216, GRENOBLE, FRANCE.; ";
