UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE
;PEDIATRIC BLOOD & CANCER;QUALITY OF LIFE IN PARENTS OF CHILDHOOD LEUKEMIA SURVIVORS. A FRENCH CHILDHOOD CANCER SURVIVOR STUDY FOR LEUKEMIA STUDY;FREYCON, CLAIRE;" UNIV HOSP GRENOBLE, DEPT PEDIAT HEMATOL ONCOL, GRENOBLE, FRANCE.; "
;GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY;EVALUATION OF 20-MHZ HIGH-FREQUENCY ULTRASONOGRAPHY FOR THE DIAGNOSIS OF CHOROIDAL NEVI;"ALBRIEUX, MAGALI; PEGOURIE, PIERRE; APTEL, FLORENT; SATGER, DOMINIQUE; BRU, MARC; ZAATAR, GEORGES; CHIQUET, CHRISTOPHE";" UNIV HOSP GRENOBLE ALPES, DEPT OPHTHALMOL, CS10217, F-38043 GRENOBLE 09, FRANCE.; "
;PATHOLOGY RESEARCH AND PRACTICE;CHORDOMAS: A REVIEW WITH EMPHASIS ON THEIR PATHOPHYSIOLOGY, PATHOLOGY, MOLECULAR BIOLOGY, AND GENETICS;BOUTONNAT, JEAN;" UNIV HOSP GRENOBLE, PATHOL DEPT, GRENOBLE, FRANCE.;"
;EUROPEAN JOURNAL OF CANCER CARE;IMPACT OF MULTIDISCIPLINARY TUMOUR BOARD IN THE MANAGEMENT OF OVARIAN CARCINOMA IN THE FIRST-LINE SETTING. EXHAUSTIVE ANALYSIS FROM THE RHONE-ALPES REGION;MOUSSEAU, MIREILLE;" UNIV HOSP GRENOBLE, SURG DEPT, GRENOBLE, FRANCE.; "
;PEDIATRIC PULMONOLOGY;WEANING FROM NONINVASIVE VENTILATION AND HIGH FLOW NASAL CANNULA IN BRONCHIOLITIS: A SURVEY OF PRACTICE;"SUZANNE, MARIE; PIN, ISABELLE";" UNIV HOSP GRENOBLE ALPES, DEPT PEDIAT, LA TRONCHE, FRANCE.; "
;PEDIATRIC PULMONOLOGY;WEANING FROM NONINVASIVE VENTILATION AND HIGH FLOW NASAL CANNULA IN BRONCHIOLITIS: A SURVEY OF PRACTICE;MORTAMET, GUILLAUME;" UNIV HOSP GRENOBLE ALPES, PEDIAT INTENS CARE UNIT, F-38700 LA TRONCHE, FRANCE.;"
;CLINICAL OTOLARYNGOLOGY;LOCOREGIONAL CONTROL, PROGRESSION-FREE SURVIVAL AND MORBIDITY RATES IN N3 HEAD AND NECK CANCER PATIENTS WITH LOW PRIMARY TUMOUR BURDEN: A 301-PATIENT STUDY;RIGHINI, CHRISTIAN;" UNIV HOSP GRENOBLE, HEAD & NECK SURG, GRENOBLE, FRANCE.; "
;JOURNAL OF CRITICAL CARE;INFORMED CONSENT PROCEDURES IN PATIENTS WITH AN ACUTE INABILITY TO PROVIDE INFORMED CONSENT: POLICY AND PRACTICE IN THE CENTER-TBI STUDY;PAYEN, JEAN-FRANCOIS;" UNIV HOSP GRENOBLE, DEPT ANESTHESIOL & INTENS CARE, GRENOBLE, FRANCE.; "
;ARTIFICIAL ORGANS;OUTCOMES OF PATIENTS SUFFERING UNWITNESSED HYPOTHERMIC CARDIAC ARREST REWARMED WITH EXTRACORPOREAL LIFE SUPPORT: A SYSTEMATIC REVIEW;BLANCHER, MARC;" UNIV HOSP GRENOBLE ALPS, DEPT EMERGENCY MED, SAMU 38, GRENOBLE, FRANCE.; "
;INTENSIVE CARE MEDICINE;PREVALENCE, ASSOCIATED FACTORS AND OUTCOMES OF PRESSURE INJURIES IN ADULT INTENSIVE CARE UNIT PATIENTS: THE DECUBICUS STUDY;CALVINO-GUNTHER, SILVIA;" UNIV HOSP GRENOBLE ALPES, MED INTENS CARE UNIT, GRENOBLE, FRANCE.; "
;CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS;USE AND OUTCOMES OF THEPKPAPYRUS COVERED STENT IN FRANCE:SOS PKPAPYRUS REGISTRY;MARLIERE, STEPHANIE;" UNIV HOSP GRENOBLE, DEPT CARDIOL, GRENOBLE, FRANCE.; "
;LEUKEMIA & LYMPHOMA;PHASE 2 STUDY OF PARSACLISIB (INCB050465), A HIGHLY SELECTIVE, NEXT-GENERATION PI3K DELTA INHIBITOR, IN RELAPSED OR REFRACTORY DIFFUSE LARGE B-CELL LYMPHOMA (CITADEL-202);GRESSIN, REMY;" UNIV HOSP GRENOBLE ALPES, DEPT ONCOHAEMATOL, GRENOBLE, FRANCE.; "
;JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY;GENERALIZED VERRUCOSIS REVEALING A LIFE-THREATENING AND UNLABELED T-CELL LYMPHOPENIA ASSOCIATED WITH AUTOIMMUNE HEMOLYTIC ANEMIA: A CASE REPORT AND REVIEW OF LITERATURE;"MARXGUT, MAGALI; RUBIO, AMANDINE";" UNIV HOSP GRENOBLE, DEPT PEDIAT, F-38000 GRENOBLE, FRANCE.; "
;JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY;GENERALIZED VERRUCOSIS REVEALING A LIFE-THREATENING AND UNLABELED T-CELL LYMPHOPENIA ASSOCIATED WITH AUTOIMMUNE HEMOLYTIC ANEMIA: A CASE REPORT AND REVIEW OF LITERATURE;"ADJAOUD, DALILA; ARMARI, CORINNE";" UNIV HOSP GRENOBLE, DEPT PEDIAT IMMUN ONCOL, GRENOBLE, FRANCE.; "
;PATHOLOGY RESEARCH AND PRACTICE;THE TRANSCRIPTIONAL FACTORS CDX2 AND FOXA1 IN CHORDOMAS;BOUTONNAT, JEAN;" UNIV HOSP GRENOBLE, DEPT PATHOL, GRENOBLE, FRANCE.;"
;JOURNAL OF CLINICAL MEDICINE;OPPORTUNISTIC INFECTIONS AND EFFICACY FOLLOWING CONVERSION TO BELATACEPT-BASED THERAPY AFTER KIDNEY TRANSPLANTATION: A FRENCH MULTICENTER COHORT;"TERREC, FLORIAN; JANBON, BENEDICTE; MALVEZZI, PAOLO; JOUVE, THOMAS; ROSTAING, LIONEL; NOBLE, JOHAN";" UNIV HOSP GRENOBLE, NEPHROL HEMODIALYSIS APHERESIS & KIDNEY TRANSPLAN, F-38000 GRENOBLE, FRANCE.; "
;RESPIRATORY MEDICINE AND RESEARCH;PROPOSALS FOR MANAGING PATIENTS WITH THORACIC MALIGNANCIES DURING COVID-19 PANDEMIC;"MORO-SIBILOT, D.;; TOFFART, A-C";" UNIV HOSP GRENOBLE, DEPT PNEUMOL, F-38043 GRENOBLE, FRANCE.; "
;EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY;NORMAL INTELLECTUAL SKILLS IN PATIENTS WITH RHOMBENCEPHALOSYNAPSIS;BONNETAIN, MARIE-FRANCE;" UNIV HOSP GRENOBLE, HOSP CHAMBERY, DEPT PEDIAT, GRENOBLE, FRANCE.; "
;EUROPEAN GERIATRIC MEDICINE;AUGUST 2020 INTERIM EUGMS GUIDANCE TO PREPARE EUROPEAN LONG-TERM CARE FACILITIES FOR COVID-19;GAVAZZI, GAETAN;" UNIV HOSP GRENOBLE ALPES, DEPT GERIATR MED, GRENOBLE, FRANCE.; "
;RHEUMATOLOGY AND THERAPY;REAL-WORLD 1-YEAR RETENTION RATE OF SUBCUTANEOUS TOCILIZUMAB TREATMENT IN PATIENTS WITH MODERATE TO SEVERE ACTIVE RHEUMATOID ARTHRITIS: TANDEM STUDY;BAILLET, ATHAN;" UNIV HOSP GRENOBLE, RHEUMATOL DEPT, GRENOBLE, FRANCE.; "
;ANNALS OF INTENSIVE CARE;MANAGEMENT OF PHARMACEUTICAL AND RECREATIONAL DRUG POISONING;DANEL, VINCENT;" UNIV HOSP GRENOBLE, DEPT EMERGENCY MED, GRENOBLE, FRANCE.; "
;EUROPACE;MORTALITY DURING TRANSVENOUS LEAD EXTRACTION: IS THERE A DIFFERENCE BETWEEN LASER SHEATHS AND ROTATING SHEATHS?;DEFAYE, PASCAL;" UNIV HOSP GRENOBLE ALPES, ARRHYTHMIA DEPT, CARDIOL, F-38043 GRENOBLE, FRANCE.; "
;EUROPEAN RESPIRATORY JOURNAL;TO COMPARE THE INCOMPARABLE: COVID-19 PNEUMONIA AND HIGH-ALTITUDE DISEASE;BOUZAT, PIERRE;" UNIV HOSP GRENOBLE, DEPT ANAESTHESIA & CRIT CARE, GRENOBLE, FRANCE.; "
;EUROPEAN RESPIRATORY JOURNAL;TRANSITION FROM INTRAVENOUS EPOPROSTENOL TO SELEXIPAG IN PULMONARY ARTERIAL HYPERTENSION: A WORD OF CAUTION;"BENET, JUSTIN; PISON, CHRISTOPHE";" UNIV HOSP GRENOBLE ALPES, DEPT RESP MED, GRENOBLE, FRANCE.; "
;NEW ENGLAND JOURNAL OF MEDICINE;INGESTION OF CAUSTIC SUBSTANCES;CHIRICA, MIRCEA;" UNIV HOSP GRENOBLE, GRENOBLE, FRANCE.; "
;THERAPEUTIC APHERESIS AND DIALYSIS;SUCCESS OF RHEOPHERESIS TO TREAT DIGITAL HYPOPERFUSION ISCHEMIC SYNDROME;ROSTAING, LIONEL;" UNIV HOSP GRENOBLE, NEPHROL HEMODIALYSIS APHERESIS & KIDNEY TRANSPLAN, GRENOBLE, FRANCE.; "
;BRITISH JOURNAL OF SURGERY;PROSPECTIVE AND OBSERVATIONAL STUDY OF COVID-19'S IMPACT ON MENTAL HEALTH AND TRAINING OF YOUNG SURGEONS IN FRANCE;BAUMGARTEN, CLEMENT;" UNIV HOSP GRENOBLE, DEPT NEUROSURG, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; "
;EUROPEAN RESPIRATORY JOURNAL;DETERMINANTS OF COMPLETION OF A HOME-BASED REHABILITATION PROGRAM IN PATIENTS AWAITING LUNG SURGERY FOR LUNG CANCER : A PROSPECTIVE OBSERVATIONAL MULTICENTER STUDY;"CATHO, HELOISE; ARBIB, FRANCOIS";" UNIV HOSP GRENOBLE, DEPT PNEUMOL, GRENOBLE, FRANCE.; "
;EUROPEAN RESPIRATORY JOURNAL;DETERMINANTS OF COMPLETION OF A HOME-BASED REHABILITATION PROGRAM IN PATIENTS AWAITING LUNG SURGERY FOR LUNG CANCER : A PROSPECTIVE OBSERVATIONAL MULTICENTER STUDY;TOFFART, ANNE-CLAIRE;" UNIV HOSP GRENOBLE, DEPT PNEUMOONCOL, GRENOBLE, FRANCE.; "
;EUROPEAN RESPIRATORY JOURNAL;DETERMINANTS OF COMPLETION OF A HOME-BASED REHABILITATION PROGRAM IN PATIENTS AWAITING LUNG SURGERY FOR LUNG CANCER : A PROSPECTIVE OBSERVATIONAL MULTICENTER STUDY;"FREY, GIL; BRICHON, PIERRE-YVES";" UNIV HOSP GRENOBLE, DEPT THORAC SURG, GRENOBLE, FRANCE.; "
;EUROPEAN RESPIRATORY JOURNAL;DETERMINANTS OF COMPLETION OF A HOME-BASED REHABILITATION PROGRAM IN PATIENTS AWAITING LUNG SURGERY FOR LUNG CANCER : A PROSPECTIVE OBSERVATIONAL MULTICENTER STUDY;WUYAM, BERNARD;" UNIV HOSP GRENOBLE, SLEEP LAB & EXERCISE PHYSIOL, GRENOBLE, FRANCE.;"
;ANAESTHESIA CRITICAL CARE & PAIN MEDICINE;ENHANCED RECOVERY PROGRAMS AND CARBON FOOTPRINT;ALBALADEJO, PIERRE;" UNIV HOSP GRENOBLE, DEPT ANAESTHESIA & CRIT CARE, GRENOBLE, FRANCE.;"
;CLINICAL CHEMISTRY AND LABORATORY MEDICINE;INFLUENCE OF DELAYED SEPARATION OF PLASMA FROM WHOLE BLOOD AND CENTRIFUGATION PROTOCOL ON ZN PLASMA CONCENTRATION;"LEGER, MANDY; DESPINASSE, QUENTIN; FAURE, PATRICE; ARNAUD, JOSIANE; CHOVELON, BENOIT";" UNIV HOSP GRENOBLE & ALPS, INST BIOL & PATHOL, CS 10217, F-38043 GRENOBLE 9, FRANCE.; "
;EUROPEAN HEART JOURNAL;COMPARED PROGNOSTIC IMPACT OF INCIDENT ATRIAL FIBRILLATION VERSUS HISTORY OF ATRIAL FIBRILLATION IN PATIENTS WITH AMI: THE FAST-MI PROGRAMME;"DEFAYE, P.;";" UNIV HOSP GRENOBLE, GRENOBLE, FRANCE.; "
;EUROPEAN HEART JOURNAL;DOES LEFT ATRIAL APPENDAGE MORPHOLOGY HAVE ANY IMPACT ON THE RESULTS OF PERCUTANEOUS CLOSURE?;"DEFAYE, P.;";" UNIV HOSP GRENOBLE, GRENOBLE, FRANCE.; "
;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;MAJOR BLEEDING RISK ASSOCIATED WITH ORAL ANTICOAGULANT IN REAL CLINICAL PRACTICE. A MULTICENTRE 3-YEAR PERIOD POPULATION-BASED PROSPECTIVE COHORT STUDY;MAIGNAN, MAXIME;" UNIV HOSP, EMERGENCY DEPT, GRENOBLE, FRANCE.; "
;JOURNAL OF THE AMERICAN ACADEMY OF AUDIOLOGY;NORMATIVE VALUES OF SACCADES AND SMOOTH PURSUIT IN CHILDREN AGED 5 TO 17 YEARS;DUMAS, GEORGES;" UNIV HOSP, DEPT OTORHINOLARYNGOL HEAD & NECK SURG, GRENOBLE, FRANCE.;"
;EJSO;FUNCTIONAL ANALYSIS OF YOUNG PATIENTS WITH DESMOID-TYPE FIBROMATOSIS: INITIAL SURVEILLANCE DOES NOT JEOPARDIZE LONG TERM QUALITY OF LIFE;"PLANTAZ, D.;";" UNIV HOSP CTR GRENOBLE, DEPT PEDIAT HEMATOL ONCOL, GRENOBLE, FRANCE.; "
;SCIENTIFIC REPORTS;ANALYSIS OF THE STORM COHORT REVEALS PHYSICAL ACTIVITY TO BE ASSOCIATED WITH SURVIVAL IN METASTATIC BREAST CANCER;JACQUET, EMMANUELLE;" JOSEPH FOURIER UNIV, UNIV HOSP CTR, ONCOL & BLOOD DIS DEPT, GRENOBLE, FRANCE.; "
;LANCET ONCOLOGY;SECOND-LOOK SURGERY PLUS HYPERTHERMIC INTRAPERITONEAL CHEMOTHERAPY VERSUS SURVEILLANCE IN PATIENTS AT HIGH RISK OF DEVELOPING COLORECTAL PERITONEAL METASTASES (PROPHYLOCHIP-PRODIGE 15): A RANDOMISED, PHASE 3 STUDY;ARVIEUX, CATHERINE;" UNIV HOSP, DEPT VISCERAL SURG, GRENOBLE, FRANCE.; "
;OTOLOGY & NEUROTOLOGY;COVID-19 AND OTOLOGIC/NEUROTOLOGIC PRACTICES: SUGGESTIONS TO IMPROVE THE SAFETY OF SURGERY AND CONSULTATIONS;SCHMERBER, SEBASTIEN;" UNIV HOSP CTR GRENOBLE, DEPT OTORHINOLARYNGOL HEAD & NECK SURG, OTOL & NEUROTOL UNIT, GRENOBLE, FRANCE.;"
;DIABETES TECHNOLOGY & THERAPEUTICS;DIABEO SYSTEM COMBINING A MOBILE APP SOFTWARE WITH AND WITHOUT TELEMONITORING VERSUS STANDARD CARE: A RANDOMIZED CONTROLLED TRIAL IN DIABETIC PATIENTS POORLY CONTROLLED WITH A BASAL-BOLUS INSULIN REGIMEN;BENHAMOU, PIERRE-YVES;" UNIV HOSP, POLE DIGIDUNE, DEPT DIABETOL, GRENOBLE, FRANCE.; "
;GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY;RELATIONSHIP BETWEEN CHANGES IN RETINAL NERVE FIBER LAYER THICKNESS MEASURED BY SD-OCT AND CHANGES IN VISUAL FIELD PARAMETERS IN BIRDSHOT CHORIORETINOPATHY;JOSE, LABARERE;" UNIV HOSP, QUAL CARE UNIT, CIC 1406, INSERM, F-38000 GRENOBLE, FRANCE.;"
;JOURNAL OF BIOMEDICAL OPTICS;ABSOLUTE RETINAL BLOOD FLOWMETER USING A LASER DOPPLER VELOCIMETER COMBINED WITH ADAPTIVE OPTICS;"CHAPPELET, MARC-ANTOINE; APTEL, FLORENT; CHIQUET, CHRISTOPHE";" UNIV HOSP, DEPT OPHTHALMOL, GRENOBLE, FRANCE.; "
;EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES;THE SKULL VIBRATION-INDUCED NYSTAGMUS TEST: A USEFUL VESTIBULAR SCREENING TEST IN CHILDREN WITH HEARING LOSS;"DUMAS, G.;";" UNIV HOSP, DEPT OTORHINOLARYNGOL HEAD & NECK SURG, GRENOBLE, FRANCE.;"
;INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS;EXCLUSIVE HYPERFRACTIONATED RADIATION THERAPY AND REDUCED BOOST VOLUME FOR STANDARD-RISK MEDULLOBLASTOMA: POOLED ANALYSIS OF THE 2 FRENCH MULTICENTRIC STUDIES MSFOP98 AND MSFOP 2007 AND CORRELATION WITH MOLECULAR SUBGROUPS;PASTEURIS, CAROLINE;" UNIV HOSP CTR GRENOBLE, DEPT RADIOTHERAPY, GRENOBLE, FRANCE.; "
;JOURNAL OF SLEEP RESEARCH;PITOLISANT EVALUATION IN OBSTRUCTIVE SLEEP APNEA PATIENTS TREATED BY NASAL CONTINUOUS POSITIVE AIRWAY PRESSURE BUT STILL COMPLAINING OF EXCESSIVE DAYTIME SLEEPINESS;"TAMISIER, R.;";" UNIV HOSP THORAX VAISSEAUX, LAB EFCR SOMMEIL, GRENOBLE, FRANCE.; "
;PEDIATRIC BLOOD & CANCER;IMPACT OF COVID-19 ON CANCER CARE: A SURVEY FROM THE FRENCH SOCIETY OF PEDIATRIC ONCOLOGY (SFCE);PLANTAZ, DOMINIQUE;" UNIV HOSP CTR GRENOBLE, DEPT PEDIAT, GRENOBLE, FRANCE.; "
;EUROPEAN RESPIRATORY JOURNAL;ENDOBRONCHIAL VALVES : FIRST FRENCH MULTICENTER RETROSPECTIVE STUDY ON THE 2 STEPS APPROACH;BRIAULT, AMANDINE;" UNIV HOSP, GRENOBLE, FRANCE.; "
;HEPATOLOGY;THE PANPPAR AGONIST LANIFIBRANOR INDUCES BOTH RESOLUTION OF NASH AND REGRESSION OF FIBROSIS AFTER 24 WEEKS OF TREATMENT IN NON-CIRRHOTIC NASH: RESULTS OF THE NATIVE PHASE 2B TRIAL;LEROY, VINCENT;" UNIV HOSP, HEPATOL DEPT, GRENOBLE, FRANCE.; "
;HEPATOLOGY;PROSPECTIVE STUDY OF HBV CCCDNA KINETICS REVEALS VERY EARLY GRAFT INFECTION DESPITE NUC PLUS HBIG PROPHYLAXIS;LEROY, VINCENT;" UNIV HOSP, HEPATOL DEPT, GRENOBLE, FRANCE.; "
;HEPATOLOGY;SELECTION BASED ON SAF ACTIVITY SCORE, NOT NASH CRN NAFLD ACTIVITY SCORE, LEADS TO SELECTION OF A PATIENT COHORT WITH MORE SEVERE NASH WITH MORE ADVANCED FIBROSIS: EXPERIENCE FROM THE NATIVE PHASE 2B STUDY OF THE PANPPAR AGONIST LANIFIBRANOR;LEROY, VINCENT;" UNIV HOSP, HEPATOL DEPT, GRENOBLE, FRANCE.; "
;REPRODUCTIVE BIOMEDICINE ONLINE;IS CELL-FREE DNA IN SPENT EMBRYO CULTURE MEDIUM AN ALTERNATIVE TO EMBRYO BIOPSY FOR PREIMPLANTATION GENETIC TESTING? A SYSTEMATIC REVIEW;BROUILLET, SOPHIE;" HOP COUPLE ENFANT, CTR HOSP UNIV GRENOBLE, CTR CLIN & BIOL ASSISTANCE MED PROCREAT, CTR ETUD & CONSERVAT OEUFS & SPERME HUMAINS CECO, F-38700 LA TRONCHE, FRANCE.; "
;REPRODUCTIVE BIOMEDICINE ONLINE;IS CELL-FREE DNA IN SPENT EMBRYO CULTURE MEDIUM AN ALTERNATIVE TO EMBRYO BIOPSY FOR PREIMPLANTATION GENETIC TESTING? A SYSTEMATIC REVIEW;"MARTINEZ, GUILLAUME; COUTTON, CHARLES";" HOP COUPLE ENFANT, DEPT GENET & PROCREAT, CTR HOSP UNIV GRENOBLE, LAB GENET CHROMOSOM, F-38700 LA TRONCHE, FRANCE.; "
;EUROPEAN HEART JOURNAL-CARDIOVASCULAR IMAGING;CLINICAL SIGNIFICANCE OF ENERGY LOSS INDEX IN PATIENTS WITH LOW-GRADIENT SEVERE AORTIC STENOSIS AND PRESERVED EJECTION FRACTION;"BOUCHOT, OCEANE; ENNEZAT, PIERRE VLADIMIR";" CTR HOSP UNIV GRENOBLE, CARDIOL DEPT, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; "
;CORNEA;CONTACT LENSES AND INFECTIOUS KERATITIS: FROM A CASE-CONTROL STUDY TO A COMPUTATION OF THE RISK FOR WEARERS;CHIQUET, CHRISTOPHE;" CTR HOSP UNIV GRENOBLE, OPHTALMOL, GRENOBLE, FRANCE.; "
;JOURNAL OF NEUROLOGY;DYSPNEA AFTER SUBTHALAMIC DEEP BRAIN STIMULATION IN PARKINSON'S DISEASE: A CASE-CONTROL STUDY;MORO, ELENA;" CTR HOSP UNIV GRENOBLE, SERV NEUROL, BP 217, F-38043 GRENOBLE 09, FRANCE.;"
;AMERICAN JOURNAL OF MEDICINE;EVALUATION OF VENOUS THROMBOEMBOLISM RECURRENCE SCORES IN AN UNPROVOKED PULMONARY EMBOLISM POPULATION: A POST-HOC ANALYSIS OF THE PADIS-PE TRIAL;PERNOD, GILLES;" UNIV GRENOBLE 1, CTR HOSP UNIV GRENOBLE, DEPT MED VASC, GRENOBLE, FRANCE.; "
;HUMAN REPRODUCTION UPDATE;C-REACTIVE PROTEIN AND ART OUTCOMES: A SYSTEMATIC REVIEW;BROUILLET, SOPHIE;" CTR HOSP UNIV GRENOBLE, CTR ETUD & CONSERVAT OEUFS & SPERME HUMAINS CECOS, CTR CLIN & BIOL ASSISTANCE MED PROCREAT, HOP COUPLE ENFANT, LA TRONCHE, FRANCE.; "
;ORPHANET JOURNAL OF RARE DISEASES;CHILDHOOD LANGERHANS CELL HISTIOCYTOSIS WITH SEVERE LUNG INVOLVEMENT: A NATIONWIDE COHORT STUDY;ARMARI-ALLA, CORINNE;" CTR HOSP UNIV GRENOBLE, DEPT PEDIAT HEMATOL & ONCOL, LA TRONCHE, FRANCE.; "
;ORPHANET JOURNAL OF RARE DISEASES;CHILDHOOD LANGERHANS CELL HISTIOCYTOSIS WITH SEVERE LUNG INVOLVEMENT: A NATIONWIDE COHORT STUDY;LAMBILLIOTTE, ANNE;" CTR HOSP UNIV GRENOBLE, DEPT PEDIAT HEMATOL & ONCOL, LILLE, FRANCE.; "
;CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY;SHORT-TERM SAFETY AND QUALITY OF LIFE OUTCOMES FOLLOWING RADIOEMBOLIZATION IN PRIMARY AND SECONDARY LIVER TUMOURS: A MULTI-CENTRE ANALYSIS OF 200 PATIENTS IN FRANCE;SENGEL, CHRISTIAN;" CTR HOSP UNIV GRENOBLE, INTERVENT RADIOL, BLVD CHANTOURNE, F-38100 GRENOBLE, FRANCE.; "
;CIRCULATION-CARDIOVASCULAR IMAGING;DIMENSIONLESS INDEX IN PATIENTS WITH LOW-GRADIENT SEVERE AORTIC STENOSIS AND PRESERVED EJECTION FRACTION;ENNEZAT, PIERRE VLADIMIR;" CTR HOSP UNIV GRENOBLE, SERV CARDIOL, GRENOBLE, FRANCE.;"
;PLOS ONE;CONTINUOUS POSITIVE AIRWAY PRESSURE (CPAP) FACE-MASK VENTILATION IS AN EASY AND CHEAP OPTION TO MANAGE A MASSIVE INFLUX OF PATIENTS PRESENTING ACUTE RESPIRATORY FAILURE DURING THE SARS-COV-2 OUTBREAK: A RETROSPECTIVE COHORT STUDY;DILWORTH, KELLY;" CTR HOSP UNIV GRENOBLE, SERV ANESTHESIE, LA TRONCHE, FRANCE.; "
;PEDIATRIC INFECTIOUS DISEASE JOURNAL;CHANGES IN REVERSE TRANSCRIPTION POLYMERASE CHAIN REACTION-POSITIVE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 RATES IN ADULTS AND CHILDREN ACCORDING TO THE EPIDEMIC STAGES;BRU, CECILE BOST;" CTR HOSP UNIV GRENOBLE, SERV PEDIAT, GRENOBLE, FRANCE.; "
;EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY;EFFICACY OF MIFEPRISTONE - PROSTAGLANDIN ANALOGUE COMBINATION IN MEDICAL TERMINATION OF PREGNANCY UP TO AND BEYOND 7 WEEKS OF AMENORRHEA: THE RYMMA STUDY;SICOT, MARIE;" CTR HOSP UNIV GRENOBLE, DEPT OBSTET & GYNECOL, GRENOBLE, FRANCE.;"
;BLOOD;CANOMAD: A NEUROLOGICAL MONOCLONAL GAMMOPATHY OF CLINICAL SIGNIFICANCE THAT BENEFITS FROM B-CELL-TARGETED THERAPIES;LAGRANGE, EMMELINE;" CTR HOSP UNIV GRENOBLE, SERV NEUROL, GRENOBLE, FRANCE.; "
;MOLECULAR AND CELLULAR ENDOCRINOLOGY;SEXUAL SELECTION AND SPERM DIVERSITY IN PRIMATES;MARTINEZ, GUILLAUME;" CTR HOSP UNIV GRENOBLE, UM GENET CHROMOSOM, HOP COUPLE ENFANT, F-38000 GRENOBLE, FRANCE.; "
;ACTA CARDIOLOGICA;ACCORDION-LIKE HEARTBROKEN IN A FEMALE VIOLONIST;"YACOOB, SUMAYA; MARLIERE, STEPHANIE; ENNEZAT, PIERRE-VLADIMIR";" CTR HOSP UNIV GRENOBLE, CARDIOL DEPT, GRENOBLE, FRANCE.; "
;HUMAN BRAIN MAPPING;BIRTH WEIGHT IS ASSOCIATED WITH ADOLESCENT BRAIN DEVELOPMENT: A MULTIMODAL IMAGING STUDY IN MONOZYGOTIC TWINS;RENARD, FELIX;" UNIV GRENOBLE, GRENOBLE HOSP, GRENOBLE, FRANCE.; "
;PLOS ONE;ACQUISITION OF HANDWRITING IN CHILDREN WITH AND WITHOUT DYSGRAPHIA: A COMPUTATIONAL APPROACH;CASTERAN, LAURENCE;" GRENOBLE HOSP, REFERENCE CTR SPEECH & LEARNING DISORDERS, GRENOBLE, FRANCE.; "
CIC;;;;
;INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH;USE OF PERSONAL CARE PRODUCTS DURING PREGNANCY IN RELATION TO URINARY CONCENTRATIONS OF SELECT PHENOLS: A LONGITUDINAL ANALYSIS FROM THE SEPAGES FEASIBILITY STUDY;CRACOWSKI, CLAIRE;" CIC GRENOBLE, UNITE PHARMACOL CLIN, GRENOBLE, FRANCE.; "
;OBSTETRICAL & GYNECOLOGICAL SURVEY;ANTENATAL DETECTION OF FETAL GROWTH RESTRICTION AND RISK OF STILLBIRTH: POPULATION-BASED CASE-CONTROL STUDY;"EGO, A.;; SKAARE, K.;";" INSERM, CIC U1406, GRENOBLE, FRANCE.; "
;JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY;GENERALIZED VERRUCOSIS REVEALING A LIFE-THREATENING AND UNLABELED T-CELL LYMPHOPENIA ASSOCIATED WITH AUTOIMMUNE HEMOLYTIC ANEMIA: A CASE REPORT AND REVIEW OF LITERATURE;"MARXGUT, LEA; RUBIO, AMANDINE";" INSERM, CIC1406, GRENOBLE, FRANCE.; "
;THERAPIE;ULTRAFAST RESPONSE OF THE FRENCH SOCIETY OF PHARMACOLOGY AND THERAPEUTICS TO THE COVID-19 PANDEMIC;CRACOWSKI, JEAN-LUC;" INSERM, CIC1406, HP2 38000, F-38000 GRENOBLE, FRANCE.; "
DCM;;;;
;BIOSENSORS & BIOELECTRONICS;PHOTOELECTROCHEMICALLY-ASSISTED BIOFUEL CELL CONSTRUCTED BY REDOX COMPLEX AND G-C3N4 COATED MWCNT BIOANODE;"LE GOFF, ALAN; HOLZINGER, MICHAEL";" CNRS, DCM UMR 5250, F-38000 GRENOBLE, FRANCE.;"
